trait	phenotype_label	n_lines	eligible_variants	valid_tests	lambda_gc	minimum_p	lead_variant	lead_minor_carriers	nominal_hits	per_trait_hits	six_trait_hits	trait_threshold	family_threshold
NightSleepChange	Night sleep change	176	1428812	1428812	1.00744062294211	8.47576e-07	3R_29419559	58	5	0	0	3.49941069923825e-08	5.83235116539708e-09
MovingShapePC1	Moving shape PC1	176	1428812	1428812	0.999717763256454	1.01135e-06	X_8318357	40	9	0	0	3.49941069923825e-08	5.83235116539708e-09
NightPWake	Night P(Wake)	176	1428812	1428812	1.00328613560461	8.6859e-07	3L_3724365	80	14	0	0	3.49941069923825e-08	5.83235116539708e-09
NightPDoze	Night P(Doze)	176	1428812	1428812	1.0083532861656	8.5825e-07	3L_2547295	81	9	0	0	3.49941069923825e-08	5.83235116539708e-09
LDHarmonicR2	LD harmonic R2	176	1428812	1428812	1.00843543195271	1.60719e-06	3R_24776116	22	7	0	0	3.49941069923825e-08	5.83235116539708e-09
TotalSleep	Total sleep	176	1428812	1428812	1.00513467239192	5.34047e-06	3L_3724365	80	6	0	0	3.49941069923825e-08	5.83235116539708e-09
