Batch,file,region_id,status,start_datetime,stop_datetime,Sex,Genotype,Temperature,Treatment,Environment,Light,monitor
Batch4c_DGRP,Monitor10.txt,3,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,4,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,5,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,6,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,7,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,8,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,9,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,10,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,11,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,12,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,13,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,14,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,15,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,16,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,17,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,18,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,19,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,20,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,21,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,22,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,23,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,24,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,25,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,26,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,27,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,28,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,29,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
Batch4c_DGRP,Monitor10.txt,30,OK,2025-08-16 10:00:00,2025-08-22 11:59:00,M,DGRP712,21.5C,Winter,NA,08:12,M10
