Genotype	day	phase	value	n_batches
"DGRP822"	1	"Night sleep (ZT8-24)"	729	1
"DGRP822"	2	"Night sleep (ZT8-24)"	734	1
"DGRP822"	3	"Night sleep (ZT8-24)"	671	1
"DGRP822"	4	"Night sleep (ZT8-24)"	637.5	1
"DGRP822"	5	"Night sleep (ZT8-24)"	615	1
"DGRP822"	6	"Night sleep (ZT8-24)"	582.5	1
"DGRP634"	1	"Night sleep (ZT8-24)"	502	1
"DGRP634"	2	"Night sleep (ZT8-24)"	503.5	1
"DGRP634"	3	"Night sleep (ZT8-24)"	470.5	1
"DGRP634"	4	"Night sleep (ZT8-24)"	454	1
"DGRP634"	5	"Night sleep (ZT8-24)"	424.5	1
"DGRP634"	6	"Night sleep (ZT8-24)"	394.5	1
"DGRP235"	1	"Night sleep (ZT8-24)"	627.5	2
"DGRP235"	2	"Night sleep (ZT8-24)"	639.5	2
"DGRP235"	3	"Night sleep (ZT8-24)"	629	2
"DGRP235"	4	"Night sleep (ZT8-24)"	675.5	2
"DGRP235"	5	"Night sleep (ZT8-24)"	671.5	2
"DGRP235"	6	"Night sleep (ZT8-24)"	705.5	2
"DGRP738"	1	"Night sleep (ZT8-24)"	317	1
"DGRP738"	2	"Night sleep (ZT8-24)"	259	1
"DGRP738"	3	"Night sleep (ZT8-24)"	283.5	1
"DGRP738"	4	"Night sleep (ZT8-24)"	213.5	1
"DGRP738"	5	"Night sleep (ZT8-24)"	255.5	1
"DGRP738"	6	"Night sleep (ZT8-24)"	257.5	1
"DGRP21"	1	"Night sleep (ZT8-24)"	437	1
"DGRP21"	2	"Night sleep (ZT8-24)"	477	1
"DGRP21"	3	"Night sleep (ZT8-24)"	558	1
"DGRP21"	4	"Night sleep (ZT8-24)"	529	1
"DGRP21"	5	"Night sleep (ZT8-24)"	476	1
"DGRP21"	6	"Night sleep (ZT8-24)"	465	1
"DGRP73"	1	"Night sleep (ZT8-24)"	600.5	2
"DGRP73"	2	"Night sleep (ZT8-24)"	612.25	2
"DGRP73"	3	"Night sleep (ZT8-24)"	625.25	2
"DGRP73"	4	"Night sleep (ZT8-24)"	655.75	2
"DGRP73"	5	"Night sleep (ZT8-24)"	675	2
"DGRP73"	6	"Night sleep (ZT8-24)"	661.25	2
"DGRP91"	1	"Night sleep (ZT8-24)"	570	1
"DGRP91"	2	"Night sleep (ZT8-24)"	498	1
"DGRP91"	3	"Night sleep (ZT8-24)"	593	1
"DGRP91"	4	"Night sleep (ZT8-24)"	565	1
"DGRP91"	5	"Night sleep (ZT8-24)"	538	1
"DGRP91"	6	"Night sleep (ZT8-24)"	540	1
"DGRP176"	1	"Night sleep (ZT8-24)"	615	1
"DGRP176"	2	"Night sleep (ZT8-24)"	562	1
"DGRP176"	3	"Night sleep (ZT8-24)"	596	1
"DGRP176"	4	"Night sleep (ZT8-24)"	629	1
"DGRP176"	5	"Night sleep (ZT8-24)"	636	1
"DGRP176"	6	"Night sleep (ZT8-24)"	591	1
"DGRP280"	1	"Night sleep (ZT8-24)"	491	1
"DGRP280"	2	"Night sleep (ZT8-24)"	336	1
"DGRP280"	3	"Night sleep (ZT8-24)"	306	1
"DGRP280"	4	"Night sleep (ZT8-24)"	322	1
"DGRP280"	5	"Night sleep (ZT8-24)"	305	1
"DGRP280"	6	"Night sleep (ZT8-24)"	291	1
"DGRP306"	1	"Night sleep (ZT8-24)"	510	1
"DGRP306"	2	"Night sleep (ZT8-24)"	483	1
"DGRP306"	3	"Night sleep (ZT8-24)"	492.5	1
"DGRP306"	4	"Night sleep (ZT8-24)"	397	1
"DGRP306"	5	"Night sleep (ZT8-24)"	333	1
"DGRP306"	6	"Night sleep (ZT8-24)"	261.5	1
"DGRP373"	1	"Night sleep (ZT8-24)"	568.5	1
"DGRP373"	2	"Night sleep (ZT8-24)"	599.5	1
"DGRP373"	3	"Night sleep (ZT8-24)"	633	1
"DGRP373"	4	"Night sleep (ZT8-24)"	615	1
"DGRP373"	5	"Night sleep (ZT8-24)"	537	1
"DGRP373"	6	"Night sleep (ZT8-24)"	486	1
"DGRP790"	1	"Night sleep (ZT8-24)"	537	1
"DGRP790"	2	"Night sleep (ZT8-24)"	539	1
"DGRP790"	3	"Night sleep (ZT8-24)"	544.5	1
"DGRP790"	4	"Night sleep (ZT8-24)"	580	1
"DGRP790"	5	"Night sleep (ZT8-24)"	618.5	1
"DGRP790"	6	"Night sleep (ZT8-24)"	571	1
"DGRP26"	1	"Night sleep (ZT8-24)"	747.75	2
"DGRP26"	2	"Night sleep (ZT8-24)"	739.25	2
"DGRP26"	3	"Night sleep (ZT8-24)"	715	2
"DGRP26"	4	"Night sleep (ZT8-24)"	729.5	2
"DGRP26"	5	"Night sleep (ZT8-24)"	721.25	2
"DGRP26"	6	"Night sleep (ZT8-24)"	764.25	2
"DGRP32"	1	"Night sleep (ZT8-24)"	862	1
"DGRP32"	2	"Night sleep (ZT8-24)"	804	1
"DGRP32"	3	"Night sleep (ZT8-24)"	745	1
"DGRP32"	4	"Night sleep (ZT8-24)"	699	1
"DGRP32"	5	"Night sleep (ZT8-24)"	685	1
"DGRP32"	6	"Night sleep (ZT8-24)"	700	1
"DGRP41"	1	"Night sleep (ZT8-24)"	767	1
"DGRP41"	2	"Night sleep (ZT8-24)"	774	1
"DGRP41"	3	"Night sleep (ZT8-24)"	702	1
"DGRP41"	4	"Night sleep (ZT8-24)"	684	1
"DGRP41"	5	"Night sleep (ZT8-24)"	686	1
"DGRP41"	6	"Night sleep (ZT8-24)"	683	1
"DGRP45"	1	"Night sleep (ZT8-24)"	795	1
"DGRP45"	2	"Night sleep (ZT8-24)"	767	1
"DGRP45"	3	"Night sleep (ZT8-24)"	746	1
"DGRP45"	4	"Night sleep (ZT8-24)"	716	1
"DGRP45"	5	"Night sleep (ZT8-24)"	722	1
"DGRP45"	6	"Night sleep (ZT8-24)"	736	1
"DGRP48"	1	"Night sleep (ZT8-24)"	713.5	1
"DGRP48"	2	"Night sleep (ZT8-24)"	746	1
"DGRP48"	3	"Night sleep (ZT8-24)"	705.5	1
"DGRP48"	4	"Night sleep (ZT8-24)"	620	1
"DGRP48"	5	"Night sleep (ZT8-24)"	596	1
"DGRP48"	6	"Night sleep (ZT8-24)"	556.5	1
"DGRP57"	1	"Night sleep (ZT8-24)"	713	1
"DGRP57"	2	"Night sleep (ZT8-24)"	741	1
"DGRP57"	3	"Night sleep (ZT8-24)"	717	1
"DGRP57"	4	"Night sleep (ZT8-24)"	686	1
"DGRP57"	5	"Night sleep (ZT8-24)"	704	1
"DGRP57"	6	"Night sleep (ZT8-24)"	713	1
"DGRP75"	1	"Night sleep (ZT8-24)"	693	1
"DGRP75"	2	"Night sleep (ZT8-24)"	689.5	1
"DGRP75"	3	"Night sleep (ZT8-24)"	702.5	1
"DGRP75"	4	"Night sleep (ZT8-24)"	668	1
"DGRP75"	5	"Night sleep (ZT8-24)"	667.5	1
"DGRP75"	6	"Night sleep (ZT8-24)"	682.5	1
"DGRP85"	1	"Night sleep (ZT8-24)"	550	1
"DGRP85"	2	"Night sleep (ZT8-24)"	514	1
"DGRP85"	3	"Night sleep (ZT8-24)"	488	1
"DGRP85"	4	"Night sleep (ZT8-24)"	526	1
"DGRP85"	5	"Night sleep (ZT8-24)"	469	1
"DGRP85"	6	"Night sleep (ZT8-24)"	490	1
"DGRP93"	1	"Night sleep (ZT8-24)"	700	1
"DGRP93"	2	"Night sleep (ZT8-24)"	687.5	1
"DGRP93"	3	"Night sleep (ZT8-24)"	669	1
"DGRP93"	4	"Night sleep (ZT8-24)"	627	1
"DGRP93"	5	"Night sleep (ZT8-24)"	629.5	1
"DGRP93"	6	"Night sleep (ZT8-24)"	647.5	1
"DGRP100"	1	"Night sleep (ZT8-24)"	764	1
"DGRP100"	2	"Night sleep (ZT8-24)"	747	1
"DGRP100"	3	"Night sleep (ZT8-24)"	747.5	1
"DGRP100"	4	"Night sleep (ZT8-24)"	718	1
"DGRP100"	5	"Night sleep (ZT8-24)"	734	1
"DGRP100"	6	"Night sleep (ZT8-24)"	724.5	1
"DGRP109"	1	"Night sleep (ZT8-24)"	677	1
"DGRP109"	2	"Night sleep (ZT8-24)"	683	1
"DGRP109"	3	"Night sleep (ZT8-24)"	638	1
"DGRP109"	4	"Night sleep (ZT8-24)"	576.5	1
"DGRP109"	5	"Night sleep (ZT8-24)"	541	1
"DGRP109"	6	"Night sleep (ZT8-24)"	517	1
"DGRP129"	1	"Night sleep (ZT8-24)"	704	1
"DGRP129"	2	"Night sleep (ZT8-24)"	755	1
"DGRP129"	3	"Night sleep (ZT8-24)"	752	1
"DGRP129"	4	"Night sleep (ZT8-24)"	760	1
"DGRP129"	5	"Night sleep (ZT8-24)"	791	1
"DGRP129"	6	"Night sleep (ZT8-24)"	783	1
"DGRP142"	1	"Night sleep (ZT8-24)"	538	1
"DGRP142"	2	"Night sleep (ZT8-24)"	528.5	1
"DGRP142"	3	"Night sleep (ZT8-24)"	448.5	1
"DGRP142"	4	"Night sleep (ZT8-24)"	342	1
"DGRP142"	5	"Night sleep (ZT8-24)"	364.5	1
"DGRP142"	6	"Night sleep (ZT8-24)"	525	1
"DGRP149"	1	"Night sleep (ZT8-24)"	430	1
"DGRP149"	2	"Night sleep (ZT8-24)"	414	1
"DGRP149"	3	"Night sleep (ZT8-24)"	443	1
"DGRP149"	4	"Night sleep (ZT8-24)"	353	1
"DGRP149"	5	"Night sleep (ZT8-24)"	386	1
"DGRP149"	6	"Night sleep (ZT8-24)"	491	1
"DGRP229"	1	"Night sleep (ZT8-24)"	532.5	1
"DGRP229"	2	"Night sleep (ZT8-24)"	568	1
"DGRP229"	3	"Night sleep (ZT8-24)"	586.5	1
"DGRP229"	4	"Night sleep (ZT8-24)"	659	1
"DGRP229"	5	"Night sleep (ZT8-24)"	653	1
"DGRP229"	6	"Night sleep (ZT8-24)"	562	1
"DGRP239"	1	"Night sleep (ZT8-24)"	732	2
"DGRP239"	2	"Night sleep (ZT8-24)"	746.25	2
"DGRP239"	3	"Night sleep (ZT8-24)"	793.5	2
"DGRP239"	4	"Night sleep (ZT8-24)"	757.25	2
"DGRP239"	5	"Night sleep (ZT8-24)"	790	2
"DGRP239"	6	"Night sleep (ZT8-24)"	801.25	2
"DGRP189"	1	"Night sleep (ZT8-24)"	616.75	2
"DGRP189"	2	"Night sleep (ZT8-24)"	508	2
"DGRP189"	3	"Night sleep (ZT8-24)"	508	2
"DGRP189"	4	"Night sleep (ZT8-24)"	452.5	2
"DGRP189"	5	"Night sleep (ZT8-24)"	540	2
"DGRP189"	6	"Night sleep (ZT8-24)"	537.5	2
"DGRP228"	1	"Night sleep (ZT8-24)"	775	1
"DGRP228"	2	"Night sleep (ZT8-24)"	726	1
"DGRP228"	3	"Night sleep (ZT8-24)"	724	1
"DGRP228"	4	"Night sleep (ZT8-24)"	774	1
"DGRP228"	5	"Night sleep (ZT8-24)"	751	1
"DGRP228"	6	"Night sleep (ZT8-24)"	774	1
"DGRP287"	1	"Night sleep (ZT8-24)"	803.5	1
"DGRP287"	2	"Night sleep (ZT8-24)"	804	1
"DGRP287"	3	"Night sleep (ZT8-24)"	783	1
"DGRP287"	4	"Night sleep (ZT8-24)"	776.5	1
"DGRP287"	5	"Night sleep (ZT8-24)"	802.5	1
"DGRP287"	6	"Night sleep (ZT8-24)"	809.5	1
"DGRP38"	1	"Night sleep (ZT8-24)"	345	1
"DGRP38"	2	"Night sleep (ZT8-24)"	293	1
"DGRP38"	3	"Night sleep (ZT8-24)"	308	1
"DGRP38"	4	"Night sleep (ZT8-24)"	263	1
"DGRP38"	5	"Night sleep (ZT8-24)"	284	1
"DGRP38"	6	"Night sleep (ZT8-24)"	319	1
"DGRP354"	1	"Night sleep (ZT8-24)"	550	2
"DGRP354"	2	"Night sleep (ZT8-24)"	554.75	2
"DGRP354"	3	"Night sleep (ZT8-24)"	534	2
"DGRP354"	4	"Night sleep (ZT8-24)"	546.75	2
"DGRP354"	5	"Night sleep (ZT8-24)"	535.75	2
"DGRP354"	6	"Night sleep (ZT8-24)"	549	2
"DGRP88"	1	"Night sleep (ZT8-24)"	613	1
"DGRP88"	2	"Night sleep (ZT8-24)"	682.5	1
"DGRP88"	3	"Night sleep (ZT8-24)"	713	1
"DGRP88"	4	"Night sleep (ZT8-24)"	670.5	1
"DGRP88"	5	"Night sleep (ZT8-24)"	683	1
"DGRP88"	6	"Night sleep (ZT8-24)"	669.5	1
"DGRP309"	1	"Night sleep (ZT8-24)"	733.5	2
"DGRP309"	2	"Night sleep (ZT8-24)"	686.5	2
"DGRP309"	3	"Night sleep (ZT8-24)"	671.5	2
"DGRP309"	4	"Night sleep (ZT8-24)"	644	2
"DGRP309"	5	"Night sleep (ZT8-24)"	646.5	2
"DGRP309"	6	"Night sleep (ZT8-24)"	618.5	2
"DGRP317"	1	"Night sleep (ZT8-24)"	521	1
"DGRP317"	2	"Night sleep (ZT8-24)"	465	1
"DGRP317"	3	"Night sleep (ZT8-24)"	387	1
"DGRP317"	4	"Night sleep (ZT8-24)"	383	1
"DGRP317"	5	"Night sleep (ZT8-24)"	400	1
"DGRP317"	6	"Night sleep (ZT8-24)"	403	1
"DGRP319"	1	"Night sleep (ZT8-24)"	728.166666666667	3
"DGRP319"	2	"Night sleep (ZT8-24)"	727.833333333333	3
"DGRP319"	3	"Night sleep (ZT8-24)"	720.833333333333	3
"DGRP319"	4	"Night sleep (ZT8-24)"	724.666666666667	3
"DGRP319"	5	"Night sleep (ZT8-24)"	709	3
"DGRP319"	6	"Night sleep (ZT8-24)"	705.5	3
"DGRP320"	1	"Night sleep (ZT8-24)"	727	2
"DGRP320"	2	"Night sleep (ZT8-24)"	769.5	2
"DGRP320"	3	"Night sleep (ZT8-24)"	757.5	2
"DGRP320"	4	"Night sleep (ZT8-24)"	765	2
"DGRP320"	5	"Night sleep (ZT8-24)"	768.25	2
"DGRP320"	6	"Night sleep (ZT8-24)"	766.75	2
"DGRP321"	1	"Night sleep (ZT8-24)"	682.25	2
"DGRP321"	2	"Night sleep (ZT8-24)"	700.75	2
"DGRP321"	3	"Night sleep (ZT8-24)"	707.75	2
"DGRP321"	4	"Night sleep (ZT8-24)"	682.5	2
"DGRP321"	5	"Night sleep (ZT8-24)"	653.5	2
"DGRP321"	6	"Night sleep (ZT8-24)"	652.25	2
"DGRP332"	1	"Night sleep (ZT8-24)"	689.5	2
"DGRP332"	2	"Night sleep (ZT8-24)"	717	2
"DGRP332"	3	"Night sleep (ZT8-24)"	729.5	2
"DGRP332"	4	"Night sleep (ZT8-24)"	739.75	2
"DGRP332"	5	"Night sleep (ZT8-24)"	759	2
"DGRP332"	6	"Night sleep (ZT8-24)"	713.75	2
"DGRP348"	1	"Night sleep (ZT8-24)"	456	1
"DGRP348"	2	"Night sleep (ZT8-24)"	483	1
"DGRP348"	3	"Night sleep (ZT8-24)"	492.5	1
"DGRP348"	4	"Night sleep (ZT8-24)"	484.5	1
"DGRP348"	5	"Night sleep (ZT8-24)"	551.5	1
"DGRP348"	6	"Night sleep (ZT8-24)"	565	1
"DGRP350"	1	"Night sleep (ZT8-24)"	704	1
"DGRP350"	2	"Night sleep (ZT8-24)"	722.5	1
"DGRP350"	3	"Night sleep (ZT8-24)"	728.5	1
"DGRP350"	4	"Night sleep (ZT8-24)"	689.5	1
"DGRP350"	5	"Night sleep (ZT8-24)"	695.5	1
"DGRP350"	6	"Night sleep (ZT8-24)"	689.5	1
"DGRP352"	1	"Night sleep (ZT8-24)"	95	1
"DGRP352"	2	"Night sleep (ZT8-24)"	73	1
"DGRP352"	3	"Night sleep (ZT8-24)"	49	1
"DGRP352"	4	"Night sleep (ZT8-24)"	30	1
"DGRP352"	5	"Night sleep (ZT8-24)"	37	1
"DGRP352"	6	"Night sleep (ZT8-24)"	65	1
"DGRP355"	1	"Night sleep (ZT8-24)"	615	1
"DGRP355"	2	"Night sleep (ZT8-24)"	645	1
"DGRP355"	3	"Night sleep (ZT8-24)"	642	1
"DGRP355"	4	"Night sleep (ZT8-24)"	651	1
"DGRP355"	5	"Night sleep (ZT8-24)"	629	1
"DGRP355"	6	"Night sleep (ZT8-24)"	599	1
"DGRP356"	1	"Night sleep (ZT8-24)"	578	2
"DGRP356"	2	"Night sleep (ZT8-24)"	518.5	2
"DGRP356"	3	"Night sleep (ZT8-24)"	478.5	2
"DGRP356"	4	"Night sleep (ZT8-24)"	388	2
"DGRP356"	5	"Night sleep (ZT8-24)"	343	2
"DGRP356"	6	"Night sleep (ZT8-24)"	330	2
"DGRP359"	1	"Night sleep (ZT8-24)"	560	1
"DGRP359"	2	"Night sleep (ZT8-24)"	622	1
"DGRP359"	3	"Night sleep (ZT8-24)"	580	1
"DGRP359"	4	"Night sleep (ZT8-24)"	537	1
"DGRP359"	5	"Night sleep (ZT8-24)"	366	1
"DGRP359"	6	"Night sleep (ZT8-24)"	577	1
"DGRP361"	1	"Night sleep (ZT8-24)"	770.75	2
"DGRP361"	2	"Night sleep (ZT8-24)"	761.25	2
"DGRP361"	3	"Night sleep (ZT8-24)"	769	2
"DGRP361"	4	"Night sleep (ZT8-24)"	741.25	2
"DGRP361"	5	"Night sleep (ZT8-24)"	745.5	2
"DGRP361"	6	"Night sleep (ZT8-24)"	745.25	2
"DGRP370"	1	"Night sleep (ZT8-24)"	576	1
"DGRP370"	2	"Night sleep (ZT8-24)"	579	1
"DGRP370"	3	"Night sleep (ZT8-24)"	591	1
"DGRP370"	4	"Night sleep (ZT8-24)"	560	1
"DGRP370"	5	"Night sleep (ZT8-24)"	533	1
"DGRP370"	6	"Night sleep (ZT8-24)"	469	1
"DGRP371"	1	"Night sleep (ZT8-24)"	498.5	1
"DGRP371"	2	"Night sleep (ZT8-24)"	475	1
"DGRP371"	3	"Night sleep (ZT8-24)"	323.5	1
"DGRP371"	4	"Night sleep (ZT8-24)"	202.5	1
"DGRP371"	5	"Night sleep (ZT8-24)"	139.5	1
"DGRP371"	6	"Night sleep (ZT8-24)"	193.5	1
"DGRP377"	1	"Night sleep (ZT8-24)"	320	1
"DGRP377"	2	"Night sleep (ZT8-24)"	244	1
"DGRP377"	3	"Night sleep (ZT8-24)"	180.5	1
"DGRP377"	4	"Night sleep (ZT8-24)"	133	1
"DGRP377"	5	"Night sleep (ZT8-24)"	172.5	1
"DGRP377"	6	"Night sleep (ZT8-24)"	211.5	1
"DGRP381"	1	"Night sleep (ZT8-24)"	461	1
"DGRP381"	2	"Night sleep (ZT8-24)"	492.5	1
"DGRP381"	3	"Night sleep (ZT8-24)"	472.5	1
"DGRP381"	4	"Night sleep (ZT8-24)"	498	1
"DGRP381"	5	"Night sleep (ZT8-24)"	504.5	1
"DGRP381"	6	"Night sleep (ZT8-24)"	606	1
"DGRP385"	1	"Night sleep (ZT8-24)"	598	1
"DGRP385"	2	"Night sleep (ZT8-24)"	570	1
"DGRP385"	3	"Night sleep (ZT8-24)"	540	1
"DGRP385"	4	"Night sleep (ZT8-24)"	466	1
"DGRP385"	5	"Night sleep (ZT8-24)"	395	1
"DGRP385"	6	"Night sleep (ZT8-24)"	398	1
"DGRP386"	1	"Night sleep (ZT8-24)"	547.25	2
"DGRP386"	2	"Night sleep (ZT8-24)"	533.25	2
"DGRP386"	3	"Night sleep (ZT8-24)"	483	2
"DGRP386"	4	"Night sleep (ZT8-24)"	437.25	2
"DGRP386"	5	"Night sleep (ZT8-24)"	402.5	2
"DGRP386"	6	"Night sleep (ZT8-24)"	451.5	2
"DGRP390"	1	"Night sleep (ZT8-24)"	559	1
"DGRP390"	2	"Night sleep (ZT8-24)"	558	1
"DGRP390"	3	"Night sleep (ZT8-24)"	542	1
"DGRP390"	4	"Night sleep (ZT8-24)"	547	1
"DGRP390"	5	"Night sleep (ZT8-24)"	532	1
"DGRP390"	6	"Night sleep (ZT8-24)"	561	1
"DGRP383"	1	"Night sleep (ZT8-24)"	568	1
"DGRP383"	2	"Night sleep (ZT8-24)"	553	1
"DGRP383"	3	"Night sleep (ZT8-24)"	452	1
"DGRP383"	4	"Night sleep (ZT8-24)"	474	1
"DGRP383"	5	"Night sleep (ZT8-24)"	478	1
"DGRP383"	6	"Night sleep (ZT8-24)"	426	1
"DGRP392"	1	"Night sleep (ZT8-24)"	644	1
"DGRP392"	2	"Night sleep (ZT8-24)"	598	1
"DGRP392"	3	"Night sleep (ZT8-24)"	603	1
"DGRP392"	4	"Night sleep (ZT8-24)"	583	1
"DGRP392"	5	"Night sleep (ZT8-24)"	611	1
"DGRP392"	6	"Night sleep (ZT8-24)"	592	1
"DGRP395"	1	"Night sleep (ZT8-24)"	784	1
"DGRP395"	2	"Night sleep (ZT8-24)"	748	1
"DGRP395"	3	"Night sleep (ZT8-24)"	706	1
"DGRP395"	4	"Night sleep (ZT8-24)"	574	1
"DGRP395"	5	"Night sleep (ZT8-24)"	555	1
"DGRP395"	6	"Night sleep (ZT8-24)"	576	1
"DGRP397"	1	"Night sleep (ZT8-24)"	716.5	1
"DGRP397"	2	"Night sleep (ZT8-24)"	668	1
"DGRP397"	3	"Night sleep (ZT8-24)"	582	1
"DGRP397"	4	"Night sleep (ZT8-24)"	573.5	1
"DGRP397"	5	"Night sleep (ZT8-24)"	552	1
"DGRP397"	6	"Night sleep (ZT8-24)"	520	1
"DGRP405"	1	"Night sleep (ZT8-24)"	523	1
"DGRP405"	2	"Night sleep (ZT8-24)"	501	1
"DGRP405"	3	"Night sleep (ZT8-24)"	441.5	1
"DGRP405"	4	"Night sleep (ZT8-24)"	452.5	1
"DGRP405"	5	"Night sleep (ZT8-24)"	414.5	1
"DGRP405"	6	"Night sleep (ZT8-24)"	376	1
"DGRP406"	1	"Night sleep (ZT8-24)"	477.5	1
"DGRP406"	2	"Night sleep (ZT8-24)"	519	1
"DGRP406"	3	"Night sleep (ZT8-24)"	534	1
"DGRP406"	4	"Night sleep (ZT8-24)"	529	1
"DGRP406"	5	"Night sleep (ZT8-24)"	519	1
"DGRP406"	6	"Night sleep (ZT8-24)"	506	1
"DGRP426"	1	"Night sleep (ZT8-24)"	741	1
"DGRP426"	2	"Night sleep (ZT8-24)"	781	1
"DGRP426"	3	"Night sleep (ZT8-24)"	754	1
"DGRP426"	4	"Night sleep (ZT8-24)"	650	1
"DGRP426"	5	"Night sleep (ZT8-24)"	557	1
"DGRP426"	6	"Night sleep (ZT8-24)"	513	1
"DGRP427"	1	"Night sleep (ZT8-24)"	441	1
"DGRP427"	2	"Night sleep (ZT8-24)"	404.5	1
"DGRP427"	3	"Night sleep (ZT8-24)"	376.5	1
"DGRP427"	4	"Night sleep (ZT8-24)"	334.5	1
"DGRP427"	5	"Night sleep (ZT8-24)"	275.5	1
"DGRP427"	6	"Night sleep (ZT8-24)"	289	1
"DGRP439"	1	"Night sleep (ZT8-24)"	670	1
"DGRP439"	2	"Night sleep (ZT8-24)"	657	1
"DGRP439"	3	"Night sleep (ZT8-24)"	598	1
"DGRP439"	4	"Night sleep (ZT8-24)"	598	1
"DGRP439"	5	"Night sleep (ZT8-24)"	630	1
"DGRP439"	6	"Night sleep (ZT8-24)"	701	1
"DGRP440"	1	"Night sleep (ZT8-24)"	491	1
"DGRP440"	2	"Night sleep (ZT8-24)"	477	1
"DGRP440"	3	"Night sleep (ZT8-24)"	409	1
"DGRP440"	4	"Night sleep (ZT8-24)"	387	1
"DGRP440"	5	"Night sleep (ZT8-24)"	396	1
"DGRP440"	6	"Night sleep (ZT8-24)"	525	1
"DGRP443"	1	"Night sleep (ZT8-24)"	306	1
"DGRP443"	2	"Night sleep (ZT8-24)"	221	1
"DGRP443"	3	"Night sleep (ZT8-24)"	274	1
"DGRP443"	4	"Night sleep (ZT8-24)"	324	1
"DGRP443"	5	"Night sleep (ZT8-24)"	313	1
"DGRP443"	6	"Night sleep (ZT8-24)"	267	1
"DGRP461"	1	"Night sleep (ZT8-24)"	772	1
"DGRP461"	2	"Night sleep (ZT8-24)"	785	1
"DGRP461"	3	"Night sleep (ZT8-24)"	779.5	1
"DGRP461"	4	"Night sleep (ZT8-24)"	761	1
"DGRP461"	5	"Night sleep (ZT8-24)"	733.5	1
"DGRP461"	6	"Night sleep (ZT8-24)"	718	1
"DGRP505"	1	"Night sleep (ZT8-24)"	675	1
"DGRP505"	2	"Night sleep (ZT8-24)"	698.5	1
"DGRP505"	3	"Night sleep (ZT8-24)"	679.5	1
"DGRP505"	4	"Night sleep (ZT8-24)"	683	1
"DGRP505"	5	"Night sleep (ZT8-24)"	731	1
"DGRP505"	6	"Night sleep (ZT8-24)"	744.5	1
"DGRP491"	1	"Night sleep (ZT8-24)"	691.75	2
"DGRP491"	2	"Night sleep (ZT8-24)"	642.25	2
"DGRP491"	3	"Night sleep (ZT8-24)"	706	2
"DGRP491"	4	"Night sleep (ZT8-24)"	709.25	2
"DGRP491"	5	"Night sleep (ZT8-24)"	692	2
"DGRP491"	6	"Night sleep (ZT8-24)"	670.5	2
"DGRP509"	1	"Night sleep (ZT8-24)"	710	1
"DGRP509"	2	"Night sleep (ZT8-24)"	629.5	1
"DGRP509"	3	"Night sleep (ZT8-24)"	433.5	1
"DGRP509"	4	"Night sleep (ZT8-24)"	224.5	1
"DGRP509"	5	"Night sleep (ZT8-24)"	176	1
"DGRP509"	6	"Night sleep (ZT8-24)"	204.5	1
"DGRP528"	1	"Night sleep (ZT8-24)"	595.75	2
"DGRP528"	2	"Night sleep (ZT8-24)"	609	2
"DGRP528"	3	"Night sleep (ZT8-24)"	547	2
"DGRP528"	4	"Night sleep (ZT8-24)"	494	2
"DGRP528"	5	"Night sleep (ZT8-24)"	497.5	2
"DGRP528"	6	"Night sleep (ZT8-24)"	488.5	2
"DGRP535"	1	"Night sleep (ZT8-24)"	491	2
"DGRP535"	2	"Night sleep (ZT8-24)"	459	2
"DGRP535"	3	"Night sleep (ZT8-24)"	417.25	2
"DGRP535"	4	"Night sleep (ZT8-24)"	425.25	2
"DGRP535"	5	"Night sleep (ZT8-24)"	418	2
"DGRP535"	6	"Night sleep (ZT8-24)"	375.5	2
"DGRP551"	1	"Night sleep (ZT8-24)"	654.5	1
"DGRP551"	2	"Night sleep (ZT8-24)"	596	1
"DGRP551"	3	"Night sleep (ZT8-24)"	601	1
"DGRP551"	4	"Night sleep (ZT8-24)"	532.5	1
"DGRP551"	5	"Night sleep (ZT8-24)"	533	1
"DGRP551"	6	"Night sleep (ZT8-24)"	538	1
"DGRP559"	1	"Night sleep (ZT8-24)"	591	1
"DGRP559"	2	"Night sleep (ZT8-24)"	502.52346193952	1
"DGRP559"	3	"Night sleep (ZT8-24)"	495	1
"DGRP559"	4	"Night sleep (ZT8-24)"	485	1
"DGRP559"	5	"Night sleep (ZT8-24)"	478	1
"DGRP559"	6	"Night sleep (ZT8-24)"	524	1
"DGRP563"	1	"Night sleep (ZT8-24)"	552	1
"DGRP563"	2	"Night sleep (ZT8-24)"	457.977059436914	1
"DGRP563"	3	"Night sleep (ZT8-24)"	387.5	1
"DGRP563"	4	"Night sleep (ZT8-24)"	340	1
"DGRP563"	5	"Night sleep (ZT8-24)"	290	1
"DGRP563"	6	"Night sleep (ZT8-24)"	295	1
"DGRP566"	1	"Night sleep (ZT8-24)"	408	1
"DGRP566"	2	"Night sleep (ZT8-24)"	265.276329509906	1
"DGRP566"	3	"Night sleep (ZT8-24)"	242	1
"DGRP566"	4	"Night sleep (ZT8-24)"	143	1
"DGRP566"	5	"Night sleep (ZT8-24)"	110	1
"DGRP566"	6	"Night sleep (ZT8-24)"	83	1
"DGRP627"	1	"Night sleep (ZT8-24)"	550	1
"DGRP627"	2	"Night sleep (ZT8-24)"	522.544316996872	1
"DGRP627"	3	"Night sleep (ZT8-24)"	586	1
"DGRP627"	4	"Night sleep (ZT8-24)"	496	1
