Genotype	day	phase	value	n_batches
"DGRP714"	6	"Night sleep (ZT8-24)"	899	1
"DGRP859"	1	"Night sleep (ZT8-24)"	374	1
"DGRP859"	2	"Night sleep (ZT8-24)"	304	1
"DGRP859"	3	"Night sleep (ZT8-24)"	241	1
"DGRP859"	4	"Night sleep (ZT8-24)"	250	1
"DGRP859"	5	"Night sleep (ZT8-24)"	271	1
"DGRP859"	6	"Night sleep (ZT8-24)"	284	1
"DGRP786"	1	"Night sleep (ZT8-24)"	854	1
"DGRP786"	2	"Night sleep (ZT8-24)"	845	1
"DGRP786"	3	"Night sleep (ZT8-24)"	857	1
"DGRP786"	4	"Night sleep (ZT8-24)"	872	1
"DGRP786"	5	"Night sleep (ZT8-24)"	878	1
"DGRP786"	6	"Night sleep (ZT8-24)"	893	1
"DGRP852"	1	"Night sleep (ZT8-24)"	695	1
"DGRP852"	2	"Night sleep (ZT8-24)"	654	1
"DGRP852"	3	"Night sleep (ZT8-24)"	615	1
"DGRP852"	4	"Night sleep (ZT8-24)"	645	1
"DGRP852"	5	"Night sleep (ZT8-24)"	712	1
"DGRP852"	6	"Night sleep (ZT8-24)"	815	1
"DGRP365"	1	"Night sleep (ZT8-24)"	514	1
"DGRP365"	2	"Night sleep (ZT8-24)"	506	1
"DGRP365"	3	"Night sleep (ZT8-24)"	492	1
"DGRP365"	4	"Night sleep (ZT8-24)"	410	1
"DGRP365"	5	"Night sleep (ZT8-24)"	428	1
"DGRP365"	6	"Night sleep (ZT8-24)"	392	1
"DGRP357"	1	"Night sleep (ZT8-24)"	409.5	1
"DGRP357"	2	"Night sleep (ZT8-24)"	497	1
"DGRP357"	3	"Night sleep (ZT8-24)"	524	1
"DGRP357"	4	"Night sleep (ZT8-24)"	580.5	1
"DGRP357"	5	"Night sleep (ZT8-24)"	618.5	1
"DGRP357"	6	"Night sleep (ZT8-24)"	623	1
"DGRP820"	1	"Night sleep (ZT8-24)"	409.5	2
"DGRP820"	2	"Night sleep (ZT8-24)"	387	2
"DGRP820"	3	"Night sleep (ZT8-24)"	381	2
"DGRP820"	4	"Night sleep (ZT8-24)"	284	2
"DGRP820"	5	"Night sleep (ZT8-24)"	230	2
"DGRP820"	6	"Night sleep (ZT8-24)"	186	2
"DGRP380"	1	"Night sleep (ZT8-24)"	560.5	3
"DGRP380"	2	"Night sleep (ZT8-24)"	565	3
"DGRP380"	3	"Night sleep (ZT8-24)"	563.5	3
"DGRP380"	4	"Night sleep (ZT8-24)"	555.5	3
"DGRP380"	5	"Night sleep (ZT8-24)"	529.5	3
"DGRP380"	6	"Night sleep (ZT8-24)"	529	3
"DGRP555"	1	"Night sleep (ZT8-24)"	611	2
"DGRP555"	2	"Night sleep (ZT8-24)"	633.5	2
"DGRP555"	3	"Night sleep (ZT8-24)"	652.25	2
"DGRP555"	4	"Night sleep (ZT8-24)"	629.5	2
"DGRP555"	5	"Night sleep (ZT8-24)"	657.75	2
"DGRP555"	6	"Night sleep (ZT8-24)"	722.5	2
"DGRP765"	1	"Night sleep (ZT8-24)"	99.3333333333333	3
"DGRP765"	2	"Night sleep (ZT8-24)"	125.333333333333	3
"DGRP765"	3	"Night sleep (ZT8-24)"	149.666666666667	3
"DGRP765"	4	"Night sleep (ZT8-24)"	207.333333333333	3
"DGRP765"	5	"Night sleep (ZT8-24)"	207.166666666667	3
