Genotype	Batch	slot	value	n_flies	signal	zt	nb	n	label
"CS"	"Batch11_DGRP"	4	0.345287356321839	29	"moving"	2.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	5	0.331034482758621	29	"moving"	2.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	6	0.311494252873563	29	"moving"	3.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	7	0.302528735632184	29	"moving"	3.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	8	0.271034482758621	29	"moving"	4.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	9	0.235632183908046	29	"moving"	4.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	10	0.242758620689655	29	"moving"	5.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	11	0.222988505747126	29	"moving"	5.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	12	0.218620689655172	29	"moving"	6.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	13	0.208735632183908	29	"moving"	6.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	14	0.214252873563218	29	"moving"	7.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	15	0.220229885057471	29	"moving"	7.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	16	0.491034482758621	29	"moving"	8.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	17	0.599080459770115	29	"moving"	8.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	18	0.653333333333333	29	"moving"	9.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	19	0.704597701149425	29	"moving"	9.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	20	0.728965517241379	29	"moving"	10.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	21	0.754252873563218	29	"moving"	10.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	22	0.70551724137931	29	"moving"	11.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	23	0.571034482758621	29	"moving"	11.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	24	0.378620689655172	29	"moving"	12.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	25	0.226436781609195	29	"moving"	12.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	26	0.142528735632184	29	"moving"	13.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	27	0.105057471264368	29	"moving"	13.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	28	0.0818390804597701	29	"moving"	14.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	29	0.0772413793103448	29	"moving"	14.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	30	0.0786206896551724	29	"moving"	15.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	31	0.08	29	"moving"	15.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	32	0.0896551724137931	29	"moving"	16.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	33	0.0724137931034483	29	"moving"	16.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	34	0.0779310344827586	29	"moving"	17.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	35	0.0873563218390805	29	"moving"	17.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	36	0.104137931034483	29	"moving"	18.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	37	0.106206896551724	29	"moving"	18.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	38	0.0986206896551724	29	"moving"	19.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	39	0.114252873563218	29	"moving"	19.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	40	0.131494252873563	29	"moving"	20.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	41	0.151494252873563	29	"moving"	20.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	42	0.169655172413793	29	"moving"	21.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	43	0.202528735632184	29	"moving"	21.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	44	0.317931034482759	29	"moving"	22.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	45	0.397471264367816	29	"moving"	22.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	46	0.469195402298851	29	"moving"	23.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	47	0.520919540229885	29	"moving"	23.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	0	0.254666666666667	30	"moving"	0.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	1	0.154888888888889	30	"moving"	0.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	2	0.173111111111111	30	"moving"	1.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	3	0.196	30	"moving"	1.75	22	577	"CS
n = 577 flies, 22 batches"
