trait	n_lines	eligible_variants	valid_tests	minimum_p	nominal_hits	lambda_gc	family_significant	per_trait_significant	plotted_manhattan	all_p_le_1e4_retained	qq_ranks
"NightSleepChange"	176	1428812	1428812	8.47576e-07	5	1.00744062294211	0	0	23905	TRUE	1200
"MovingShapePC1"	176	1428812	1428812	1.01135e-06	9	0.999717763256454	0	0	23888	TRUE	1200
"NightPWake"	176	1428812	1428812	8.6859e-07	14	1.00328613560461	0	0	23906	TRUE	1200
"NightPDoze"	176	1428812	1428812	8.5825e-07	9	1.0083532861656	0	0	23920	TRUE	1200
"LDHarmonicR2"	176	1428812	1428812	1.60719e-06	7	1.00843543195271	0	0	23912	TRUE	1200
"TotalSleep"	176	1428812	1428812	5.34047e-06	6	1.00513467239192	0	0	23912	TRUE	1200
