"id","region_id","experiment_id","start_datetime","stop_datetime","status","Sex","Genotype","Temperature","Treatment","Environment","Light","monitor","Batch","Sleep_Fraction_All","Sleep_Time_All","Sleep_Fraction_L","Sleep_Time_L","Sleep_Fraction_D","Sleep_Time_D","Day1_latency","Day1_first_bout_length","Day1_latency_to_longest_bout","Day1_Sleep_Fraction_All","Day1_Sleep_Time_All","Day1_Sleep_Fraction_L","Day1_Sleep_Time_L","Day1_Sleep_Fraction_D","Day1_Sleep_Time_D","Day2_latency","Day2_first_bout_length","Day2_latency_to_longest_bout","Day2_Sleep_Fraction_All","Day2_Sleep_Time_All","Day2_Sleep_Fraction_L","Day2_Sleep_Time_L","Day2_Sleep_Fraction_D","Day2_Sleep_Time_D","Day3_latency","Day3_first_bout_length","Day3_latency_to_longest_bout","Day3_Sleep_Fraction_All","Day3_Sleep_Time_All","Day3_Sleep_Fraction_L","Day3_Sleep_Time_L","Day3_Sleep_Fraction_D","Day3_Sleep_Time_D","Day4_latency","Day4_first_bout_length","Day4_latency_to_longest_bout","Day4_Sleep_Fraction_All","Day4_Sleep_Time_All","Day4_Sleep_Fraction_L","Day4_Sleep_Time_L","Day4_Sleep_Fraction_D","Day4_Sleep_Time_D","Day5_latency","Day5_first_bout_length","Day5_latency_to_longest_bout","Day5_Sleep_Fraction_All","Day5_Sleep_Time_All","Day5_Sleep_Fraction_L","Day5_Sleep_Time_L","Day5_Sleep_Fraction_D","Day5_Sleep_Time_D","Day6_latency","Day6_first_bout_length","Day6_latency_to_longest_bout","Day6_Sleep_Fraction_All","Day6_Sleep_Time_All","Day6_Sleep_Fraction_L","Day6_Sleep_Time_L","Day6_Sleep_Fraction_D","Day6_Sleep_Time_D","n_Bouts_L","mean_Bout_Length_L","n_Bouts_D","mean_Bout_Length_D"
"2025-10-11 10:00:00|Monitor50.txt|01",1,"2025-10-11 10:00:00|Monitor50.txt",2025-10-11T10:00:00Z,2025-10-17T11:59:00Z,"OK","M","DGRP595","21.5C","Winter","NA","08:12","M50","Batch10_DGRP",0.317324383751881,456.947112602708,0.21034363068379,100.964942728219,0.370833333333333,356,7560,300,47220,0.249826509368494,359.750173490632,0.027027027027027,12.972972972973,0.361458333333333,347,12000,360,47880,0.296321998612075,426.703678001388,0.22037422037422,105.779625779626,0.334375,321,1140,420,52140,0.303955586398335,437.696044413602,0.133056133056133,63.8669438669439,0.389583333333333,374,840,960,46200,0.316446911866759,455.683553088133,0.141372141372141,67.8586278586279,0.404166666666667,388,600,540,50940,0.401110340041638,577.598889659958,0.343035343035343,164.656964656965,0.430208333333333,413,900,720,76740,0.335183900069396,482.664816099931,0.395010395010395,189.60498960499,0.305208333333333,293,16.3333333333333,40.4183673469388,27.3333333333333,27.9329268292683
"2025-10-11 10:00:00|Monitor50.txt|02",2,"2025-10-11 10:00:00|Monitor50.txt",2025-10-11T10:00:00Z,2025-10-17T11:59:00Z,"OK","M","DGRP595","21.5C","Winter","NA","08:12","M50","Batch10_DGRP",0.152644369864599,219.807892605023,0.0461645262061784,22.1589725789656,0.205902777777778,197.666666666667,42840,1860,63660,0.178348369188064,256.821651630812,0,0,0.267708333333333,257,180,1320,69780,0.164469118667592,236.835530881332,0.0457380457380458,21.954261954262,0.223958333333333,215,900,420,49080,0.165857043719639,238.83414295628,0.0706860706860707,33.9293139293139,0.213541666666667,205,1680,480,42060,0.190145732130465,273.80985426787,0.0332640332640333,15.966735966736,0.26875,258,1380,600,50820,0.138792505204719,199.861207494795,0.0311850311850312,14.968814968815,0.192708333333333,185,720,300,57960,0.0777238029146426,111.922276197085,0.0956340956340956,45.9043659043659,0.06875,66,4.66666666666667,149.214285714286,18,40.8518518518519
"2025-10-11 10:00:00|Monitor50.txt|03",3,"2025-10-11 10:00:00|Monitor50.txt",2025-10-11T10:00:00Z,2025-10-17T11:59:00Z,"OK","M","DGRP595","21.5C","Winter","NA","08:12","M50","Batch10_DGRP",0.1592408286078,229.306793195232,0.192988545643874,92.6345019090594,0.142361111111111,136.666666666667,46320,420,49800,0.102012491325468,146.897987508675,0,0,0.153125,147,540,1380,72660,0.106870229007634,153.893129770992,0.0769230769230769,36.9230769230769,0.121875,117,540,1260,39600,0.248438584316447,357.751561415684,0.224532224532225,107.775467775468,0.260416666666667,250,1020,840,3060,0.101318528799445,145.898681471201,0.153846153846154,73.8461538461539,0.075,72,540,5220,540,0.135322692574601,194.864677307425,0.405405405405405,194.594594594595,0,0,660,780,82440,0.260929909784872,375.739070090215,0.295218295218295,141.704781704782,0.24375,234,9.33333333333333,87.4285714285714,15.5,39.6344086021505
"2025-10-11 10:00:00|Monitor50.txt|04",4,"2025-10-11 10:00:00|Monitor50.txt",2025-10-11T10:00:00Z,2025-10-17T11:59:00Z,"OK","M","DGRP595","21.5C","Winter","NA","08:12","M50","Batch10_DGRP",0.159703737993288,229.973382710334,0.0468587296077751,22.492190211732,0.216145833333333,207.5,52200,300,61440,0.0811936155447606,116.918806384455,0,0,0.121875,117,56880,480,66300,0.0666204024982651,95.9333795975017,0,0,0.1,96,62460,360,72120,0.0624566273421235,89.9375433726579,0,0,0.09375,90,47400,660,59340,0.111727966689799,160.88827203331,0.00207900207900208,0.997920997920998,0.166666666666667,160,660,300,49980,0.237335183900069,341.7626648161,0.0748440748440749,35.9251559251559,0.31875,306,60,300,57840,0.399028452463567,574.600971547536,0.205821205821206,98.7941787941788,0.495833333333333,476,4.83333333333333,77.5862068965517,24.5,42.8163265306123
"2025-10-11 10:00:00|Monitor50.txt|05",5,"2025-10-11 10:00:00|Monitor50.txt",2025-10-11T10:00:00Z,2025-10-17T11:59:00Z,"OK","M","DGRP595","21.5C","Winter","NA","08:12","M50","Batch10_DGRP",0.506422867723643,729.248929522046,0.312738632419299,150.114543561263,0.603298611111111,579.166666666667,1800,300,52740,0.421235253296322,606.578764746704,0.205821205821206,98.7941787941788,0.529166666666667,508,3960,840,72120,0.464954892435809,669.535045107564,0.247401247401247,118.752598752599,0.573958333333333,551,1140,600,54300,0.539902845246357,777.460097154754,0.343035343035343,164.656964656965,0.638541666666667,613,1560,720,40320,0.58292852185982,839.41707147814,0.395010395010395,189.60498960499,0.677083333333333,650,1080,360,55500,0.492019430950729,708.507980569049,0.311850311850312,149.68814968815,0.582291666666667,559,1020,660,43320,0.538514920194309,775.461485079806,0.378378378378378,181.621621621622,0.61875,594,26.5,21.1635220125786,37,22.9279279279279
"2025-10-11 10:00:00|Monitor50.txt|06",6,"2025-10-11 10:00:00|Monitor50.txt",2025-10-11T10:00:00Z,2025-10-17T11:59:00Z,"OK","M","DGRP595","21.5C","Winter","NA","08:12","M50","Batch10_DGRP",0.233074875593103,335.627820854068,0.0367927802846234,17.6605345366192,0.33125,318,48600,300,76620,0.156835530881332,225.843164469119,0,0,0.235416666666667,226,1620,540,69360,0.188063844552394,270.811936155448,0.0187110187110187,8.98128898128898,0.272916666666667,262,14940,300,51480,0.263011797362942,378.736988202637,0.0332640332640333,15.966735966736,0.378125,363,19380,420,44760,0.259541984732824,373.740458015267,0.0374220374220374,17.962577962578,0.370833333333333,356,9780,360,44460,0.249132546842471,358.750867453158,0.0124740124740125,5.98752598752599,0.367708333333333,353,1980,300,45660,0.281054823039556,404.71894517696,0.118503118503119,56.8814968814969,0.3625,348,3.66666666666667,164.409090909091,25.8333333333333,31.9225806451613
"2025-10-11 10:00:00|Monitor50.txt|07",7,"2025-10-11 10:00:00|Monitor50.txt",2025-10-11T10:00:00Z,2025-10-17T11:59:00Z,"OK","M","DGRP595","21.5C","Winter","NA","08:12","M50","Batch10_DGRP",0.109593797014234,157.815067700498,0.0433877125997917,20.8261020479,0.142708333333333,137,52020,540,54360,0.0964607911172797,138.903539208883,0,0,0.144791666666667,139,51960,300,56640,0.112421929215822,161.887578070784,0,0,0.16875,162,420,1020,44460,0.11380985426787,163.886190145732,0.0914760914760915,43.9085239085239,0.125,120,60,300,57960,0.146426092990978,210.853573907009,0.0207900207900208,9.97920997920998,0.209375,201,540,1560,540,0.0589868147120056,84.941013185288,0.0665280665280665,31.9334719334719,0.0552083333333333,53,780,420,43320,0.129770992366412,186.870229007634,0.0831600831600832,39.9168399168399,0.153125,147,3,204.055555555556,15.5,53.0322580645161
"2025-10-11 10:00:00|Monitor50.txt|08",8,"2025-10-11 10:00:00|Monitor50.txt",2025-10-11T10:00:00Z,2025-10-17T11:59:00Z,"OK","M","DGRP595","21.5C","Winter","NA","08:12","M50","Batch10_DGRP",0.352621224395325,507.774563129267,0.471364109684138,226.254772648386,0.293229166666667,281.5,660,960,58200,0.426092990978487,613.573907009022,0.648648648648649,311.351351351351,0.314583333333333,302,780,300,58140,0.441360166551006,635.558639833449,0.638253638253638,306.361746361746,0.342708333333333,329,780,780,53820,0.357390700902151,514.642609299098,0.401247401247401,192.598752598753,0.335416666666667,322,60,480,4020,0.28383067314365,408.716169326856,0.403326403326403,193.596673596674,0.223958333333333,215,840,660,3540,0.321304649548924,462.678695350451,0.376299376299376,180.623700623701,0.29375,282,660,420,6420,0.284524635669674,409.71547536433,0.355509355509356,170.644490644491,0.248958333333333,239,23.8333333333333,25.9090909090909,28.8333333333333,27.5953757225433
"2025-10-11 10:00:00|Monitor50.txt|09",9,"2025-10-11 10:00:00|Monitor50.txt",2025-10-11T10:00:00Z,2025-10-17T11:59:00Z,"OK","M","DGRP595","21.5C","Winter","NA","08:12","M50","Batch10_DGRP",0.305867376461058,440.449022103923,0.270392224921902,129.788267962513,0.323611111111111,310.666666666667,4740,360,73200,0.300485773768217,432.699514226232,0.307692307692308,147.692307692308,0.296875,285,1920,360,77460,0.300485773768217,432.699514226232,0.27027027027027,129.72972972973,0.315625,303,660,300,60120,0.311589174184594,448.688410825815,0.282744282744283,135.717255717256,0.326041666666667,313,960,360,63180,0.283136710617627,407.716863289382,0.212058212058212,101.787941787942,0.31875,306,5760,480,56160,0.32824427480916,472.671755725191,0.338877338877339,162.661122661123,0.322916666666667,310,3420,360,51420,0.31089521165857,447.689104788341,0.20997920997921,100.790020790021,0.361458333333333,347,19.5,32.5042735042735,30.5,25.8032786885246
"2025-10-11 10:00:00|Monitor50.txt|10",10,"2025-10-11 10:00:00|Monitor50.txt",2025-10-11T10:00:00Z,2025-10-17T11:59:00Z,"OK","M","DGRP595","21.5C","Winter","NA","08:12","M50","Batch10_DGRP",0.259460710565907,373.623423214906,0.220409580006942,105.796598403332,0.278993055555556,267.833333333333,600,600,42840,0.233171408743928,335.766828591256,0.130977130977131,62.8690228690229,0.284375,273,780,660,56340,0.253296321998612,364.746703678001,0.178794178794179,85.8212058212058,0.290625,279,780,2400,780,0.258154059680777,371.741845940319,0.241164241164241,115.758835758836,0.266666666666667,256,840,540,45840,0.31089521165857,447.689104788341,0.276507276507277,132.723492723493,0.328125,315,600,1260,43500,0.218598195697432,314.781401804303,0.226611226611227,108.773388773389,0.214583333333333,206,540,2100,540,0.283136710617627,407.716863289382,0.27027027027027,129.72972972973,0.289583333333333,278,11.3333333333333,58.5588235294118,27.8333333333333,27.377245508982
