"id","region_id","experiment_id","start_datetime","stop_datetime","status","Sex","Genotype","Temperature","Treatment","Environment","Light","monitor","Batch","Sleep_Fraction_All","Sleep_Time_All","Sleep_Fraction_L","Sleep_Time_L","Sleep_Fraction_D","Sleep_Time_D","Day1_latency","Day1_first_bout_length","Day1_latency_to_longest_bout","Day1_Sleep_Fraction_All","Day1_Sleep_Time_All","Day1_Sleep_Fraction_L","Day1_Sleep_Time_L","Day1_Sleep_Fraction_D","Day1_Sleep_Time_D","Day2_latency","Day2_first_bout_length","Day2_latency_to_longest_bout","Day2_Sleep_Fraction_All","Day2_Sleep_Time_All","Day2_Sleep_Fraction_L","Day2_Sleep_Time_L","Day2_Sleep_Fraction_D","Day2_Sleep_Time_D","Day3_latency","Day3_first_bout_length","Day3_latency_to_longest_bout","Day3_Sleep_Fraction_All","Day3_Sleep_Time_All","Day3_Sleep_Fraction_L","Day3_Sleep_Time_L","Day3_Sleep_Fraction_D","Day3_Sleep_Time_D","Day4_latency","Day4_first_bout_length","Day4_latency_to_longest_bout","Day4_Sleep_Fraction_All","Day4_Sleep_Time_All","Day4_Sleep_Fraction_L","Day4_Sleep_Time_L","Day4_Sleep_Fraction_D","Day4_Sleep_Time_D","Day5_latency","Day5_first_bout_length","Day5_latency_to_longest_bout","Day5_Sleep_Fraction_All","Day5_Sleep_Time_All","Day5_Sleep_Fraction_L","Day5_Sleep_Time_L","Day5_Sleep_Fraction_D","Day5_Sleep_Time_D","Day6_latency","Day6_first_bout_length","Day6_latency_to_longest_bout","Day6_Sleep_Fraction_All","Day6_Sleep_Time_All","Day6_Sleep_Fraction_L","Day6_Sleep_Time_L","Day6_Sleep_Fraction_D","Day6_Sleep_Time_D","n_Bouts_L","mean_Bout_Length_L","n_Bouts_D","mean_Bout_Length_D"
"2025-11-08 10:00:00|Monitor25.txt|01",1,"2025-11-08 10:00:00|Monitor25.txt",2025-11-08T10:00:00Z,2025-11-14T10:30:00Z,"OK","M","CS","21.5C","Winter","NA","08:12","M25","Batch14_DGRP",0.643328318481657,926.392778613586,0.666435265532801,319.888927455745,0.631770833333333,606.5,0,900,50760,0.630811936155448,908.369188063845,0.721413721413721,346.278586278586,0.585416666666667,562,5820,480,46620,0.693268563497571,998.306731436502,0.700623700623701,336.299376299376,0.689583333333333,662,480,900,44940,0.630117973629424,907.369882026371,0.721413721413721,346.278586278586,0.584375,561,2880,1200,43380,0.603053435114504,868.396946564886,0.61954261954262,297.380457380457,0.594791666666667,571,540,300,46800,0.614156835530881,884.385843164469,0.577962577962578,277.422037422037,0.632291666666667,607,2220,420,49680,0.688410825815406,991.311589174185,0.656964656964657,315.343035343035,0.704166666666667,676,22.1666666666667,22.9323308270677,27.8333333333333,32.3532934131736
"2025-11-08 10:00:00|Monitor25.txt|05",5,"2025-11-08 10:00:00|Monitor25.txt",2025-11-08T10:00:00Z,2025-11-14T10:30:00Z,"OK","M","CS","21.5C","Winter","NA","08:12","M25","Batch14_DGRP",0.693091077421595,998.051151487096,0.627559875043388,301.228740020826,0.725868055555556,696.833333333333,420,660,45180,0.778625954198473,1121.2213740458,0.760914760914761,365.239085239085,0.7875,756,1260,420,38340,0.809160305343512,1165.19083969466,0.912681912681913,438.087318087318,0.757291666666667,727,420,480,38880,0.73351839000694,1056.26648160999,0.74012474012474,355.259875259875,0.730208333333333,701,720,300,43920,0.619014573213047,891.380985426787,0.390852390852391,187.609147609148,0.733333333333333,704,2640,300,45300,0.647467036780014,932.35253296322,0.503118503118503,241.496881496882,0.719791666666667,691,660,1200,40860,0.571825121443442,823.428174878557,0.461538461538462,221.538461538462,0.627083333333333,602,30.5,15.3825136612022,37,25.1306306306306
"2025-11-08 10:00:00|Monitor25.txt|06",6,"2025-11-08 10:00:00|Monitor25.txt",2025-11-08T10:00:00Z,2025-11-14T10:30:00Z,"OK","M","CS","21.5C","Winter","NA","08:12","M25","Batch14_DGRP",0.833931257956255,1200.86101145701,0.7709128774731,370.038181187088,0.865451388888889,830.833333333333,720,600,41520,0.829285218598196,1194.1707147814,0.758835758835759,364.241164241164,0.864583333333333,830,1020,4740,15900,0.934073560027759,1345.06592643997,0.979209979209979,470.02079002079,0.911458333333333,875,2640,4740,35520,0.834836918806385,1202.16516308119,0.79002079002079,379.209979209979,0.857291666666667,823,480,300,36060,0.795975017349063,1146.20402498265,0.704781704781705,338.295218295218,0.841666666666667,808,1020,480,36120,0.79528105482304,1145.20471894518,0.654885654885655,314.345114345114,0.865625,831,360,420,37980,0.8147120055517,1173.18528799445,0.74012474012474,355.259875259875,0.852083333333333,818,23.6666666666667,25.9718309859155,13,61.7820512820513
"2025-11-08 10:00:00|Monitor25.txt|07",7,"2025-11-08 10:00:00|Monitor25.txt",2025-11-08T10:00:00Z,2025-11-14T10:30:00Z,"OK","M","CS","21.5C","Winter","NA","08:12","M25","Batch14_DGRP",0.819002430274274,1179.36349959495,0.86879555709823,417.02186740715,0.794097222222222,762.333333333333,0,1260,44520,0.788341429562804,1135.21165857044,0.796257796257796,382.203742203742,0.784375,753,7680,22260,38460,0.882720333102012,1271.1172796669,0.997920997920998,479.002079002079,0.825,792,3120,1020,37560,0.902151283830673,1299.09784871617,0.983367983367983,472.016632016632,0.861458333333333,827,360,1020,37140,0.843164469118668,1214.15683553088,0.95010395010395,456.049896049896,0.789583333333333,758,600,540,36480,0.768910478834143,1107.23108952117,0.792099792099792,380.2079002079,0.757291666666667,727,420,360,40740,0.728660652324775,1049.27133934768,0.692307692307692,332.307692307692,0.746875,717,13.5,36.9876543209877,19.5,46.957264957265
"2025-11-08 10:00:00|Monitor25.txt|10",10,"2025-11-08 10:00:00|Monitor25.txt",2025-11-08T10:00:00Z,2025-11-14T10:30:00Z,"OK","M","CS","21.5C","Winter","NA","08:12","M25","Batch14_DGRP",0.755468117116075,1087.87408864715,0.797639708434571,382.867060048594,0.734375,705,480,1080,46500,0.712699514226232,1026.28730048577,0.756756756756757,363.243243243243,0.690625,663,5040,360,44700,0.791811242192922,1140.20818875781,0.902286902286902,433.097713097713,0.736458333333333,707,1380,1380,43020,0.819569743233865,1180.18043025677,0.933471933471933,448.066528066528,0.7625,732,180,840,42840,0.723802914642609,1042.27619708536,0.735966735966736,353.264033264033,0.717708333333333,689,8220,840,43920,0.765440666204025,1102.2345593338,0.8004158004158,384.199584199584,0.747916666666667,718,120,840,43200,0.719639139486468,1036.28036086051,0.656964656964657,315.343035343035,0.751041666666667,721,20.5,25.0487804878049,19.3333333333333,46.1379310344828
"2025-11-08 10:00:00|Monitor25.txt|11",11,"2025-11-08 10:00:00|Monitor25.txt",2025-11-08T10:00:00Z,2025-11-14T10:30:00Z,"OK","M","CS","21.5C","Winter","NA","08:12","M25","Batch14_DGRP",0.724106006249277,1042.71264899896,0.767788962165915,368.538701839639,0.702256944444445,674.166666666667,600,540,54900,0.526717557251908,758.473282442748,0.573804573804574,275.426195426195,0.503125,483,1260,480,85980,0.464260929909785,668.53573907009,0.588357588357588,282.411642411642,0.402083333333333,386,7140,480,53580,0.688410825815406,991.311589174185,0.665280665280665,319.334719334719,0.7,672,7200,480,85380,0.897987508674532,1293.10201249133,0.979209979209979,470.02079002079,0.857291666666667,823,26820,1560,58680,0.914642609299098,1317.0853573907,0.958419958419958,460.04158004158,0.892708333333333,857,5220,540,39900,0.852879944482998,1228.14712005552,0.841995841995842,404.158004158004,0.858333333333333,824,15.6666666666667,22.5851063829787,33.6666666666667,31.5693069306931
"2025-11-08 10:00:00|Monitor25.txt|14",14,"2025-11-08 10:00:00|Monitor25.txt",2025-11-08T10:00:00Z,2025-11-14T10:30:00Z,"OK","M","CS","21.5C","Winter","NA","08:12","M25","Batch14_DGRP",0.755583844462447,1088.04073602592,0.842068726136758,404.192988545644,0.712326388888889,683.833333333333,0,16560,46080,0.761970853573907,1097.23802914643,0.891891891891892,428.108108108108,0.696875,669,9360,16380,42900,0.805690492713394,1160.19430950729,0.927234927234927,445.072765072765,0.744791666666667,715,1920,1680,43500,0.795975017349063,1146.20402498265,0.948024948024948,455.051975051975,0.719791666666667,691,7140,1020,42840,0.790423317140875,1138.20957668286,0.883575883575884,424.116424116424,0.74375,714,3120,540,45180,0.73351839000694,1056.26648160999,0.752598752598753,361.247401247401,0.723958333333333,695,3480,1020,45540,0.64677307425399,931.353226925746,0.650727650727651,312.349272349272,0.644791666666667,619,11.6666666666667,36.7428571428572,18.5,53.6936936936937
"2025-11-08 10:00:00|Monitor25.txt|21",21,"2025-11-08 10:00:00|Monitor25.txt",2025-11-08T10:00:00Z,2025-11-14T10:30:00Z,"OK","M","CS","21.5C","Winter","NA","08:12","M25","Batch14_DGRP",0.829302164101377,1194.19511630598,0.919125303713988,441.180145782714,0.784375,753,240,1080,57180,0.786953504510756,1133.21304649549,0.862785862785863,414.137214137214,0.748958333333333,719,1320,1140,40200,0.826509368494101,1190.17349063151,0.896049896049896,430.10395010395,0.791666666666667,760,300,5160,38040,0.886190145732131,1276.11380985427,0.987525987525988,474.012474012474,0.835416666666667,802,3360,22680,37140,0.83969465648855,1209.16030534351,0.983367983367983,472.016632016632,0.767708333333333,737,480,1920,39420,0.82234559333796,1184.17765440666,0.893970893970894,429.106029106029,0.786458333333333,755,540,7200,38280,0.8147120055517,1173.18528799445,0.891891891891892,428.108108108108,0.776041666666667,745,7,75.1666666666667,13.8333333333333,64.9638554216868
"2025-11-08 10:00:00|Monitor25.txt|23",23,"2025-11-08 10:00:00|Monitor25.txt",2025-11-08T10:00:00Z,2025-11-14T10:30:00Z,"OK","M","CS","21.5C","Winter","NA","08:12","M25","Batch14_DGRP",0.781969679435251,1126.03633838676,0.80839986115932,388.031933356474,0.76875,738,720,840,53280,0.741151977793199,1067.25884802221,0.783783783783784,376.216216216216,0.719791666666667,691,3600,3180,39780,0.829979181124219,1195.17002081888,0.883575883575884,424.116424116424,0.803125,771,1560,420,38940,0.784871616932686,1130.21512838307,0.819126819126819,393.180873180873,0.767708333333333,737,1320,1920,39840,0.807772380291464,1163.19222761971,0.835758835758836,401.164241164241,0.79375,762,120,1500,39840,0.767522553782096,1105.23247744622,0.742203742203742,356.257796257796,0.780208333333333,749,360,300,40440,0.76058292852186,1095.23941707148,0.785862785862786,377.214137214137,0.747916666666667,718,17.3333333333333,30.1730769230769,16.3333333333333,54.4897959183674
"2025-11-08 10:00:00|Monitor25.txt|25",25,"2025-11-08 10:00:00|Monitor25.txt",2025-11-08T10:00:00Z,2025-11-14T10:30:00Z,"OK","M","CS","21.5C","Winter","NA","08:12","M25","Batch14_DGRP",0.66728387918065,960.888786020137,0.692120791391878,332.217979868101,0.654861111111111,628.666666666667,0,2100,45540,0.721721027064539,1039.27827897294,0.817047817047817,392.182952182952,0.673958333333333,647,60,540,46740,0.714087439278279,1028.28591256072,0.767151767151767,368.232848232848,0.6875,660,8580,3240,45360,0.688410825815406,991.311589174185,0.79002079002079,379.209979209979,0.6375,612,840,360,44280,0.638445523941707,919.361554476058,0.613305613305613,294.386694386694,0.651041666666667,625,1200,420,45660,0.673143650242887,969.326856349757,0.675675675675676,324.324324324324,0.671875,645,1500,420,47220,0.567661346287301,817.432338653713,0.488565488565489,234.511434511435,0.607291666666667,583,24.6666666666667,19.6148648648649,23,40.7536231884058
