Batch,file,region_id,status,start_datetime,stop_datetime,Sex,Genotype,Temperature,Treatment,Environment,Light,monitor
Batch3_DGRP,Monitor5.txt,1,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,2,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,3,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,4,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,5,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,6,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,7,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,8,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,9,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,10,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,11,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,12,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,13,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,14,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,15,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,16,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,17,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,18,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,19,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,20,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,21,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,22,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,23,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,24,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,25,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,26,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,27,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,28,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,29,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,30,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,31,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor5.txt,32,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,DGRP714,21.5C,Winter,NA,08:12,M5
Batch3_DGRP,Monitor6.txt,1,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,CS,21.5C,Winter,NA,08:12,M6
Batch3_DGRP,Monitor6.txt,2,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,CS,21.5C,Winter,NA,08:12,M6
Batch3_DGRP,Monitor6.txt,3,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,CS,21.5C,Winter,NA,08:12,M6
Batch3_DGRP,Monitor6.txt,4,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,CS,21.5C,Winter,NA,08:12,M6
Batch3_DGRP,Monitor6.txt,5,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,CS,21.5C,Winter,NA,08:12,M6
Batch3_DGRP,Monitor6.txt,6,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,CS,21.5C,Winter,NA,08:12,M6
Batch3_DGRP,Monitor6.txt,7,OK,2025-07-25 10:00:00,2025-07-31 10:30:00,M,CS,21.5C,Winter,NA,08:12,M6
