phenotype	min_n	lines	repeated_lines	pairs	symmetric_rho
"LongestBoutDark__Late2_Early2"	12	176	55	72	0.417925025019795
"LongestBoutDark__Late2_Early2"	16	173	34	45	0.475185246171579
"WakingActivityDark__State_D2_D6"	8	176	67	93	0.68416871116731
"WakingActivityDark__State_D2_D6"	12	175	54	71	0.643475837093452
"WakingActivityDark__State_D2_D6"	16	167	32	43	0.532773426441446
"WakingActivityDark__D6_D1"	8	176	67	93	0.439828271270966
"WakingActivityDark__D6_D1"	12	176	52	69	0.451391124658926
"WakingActivityDark__D6_D1"	16	170	33	44	0.330573635490889
"WakingActivityDark__Late2_Early2"	8	176	67	93	0.40129747694167
"WakingActivityDark__Late2_Early2"	12	176	52	69	0.428749529061205
"WakingActivityDark__Late2_Early2"	16	167	32	43	0.246616967066151
"PWakeLight__State_D2_D6"	8	176	67	95	0.709856562468287
"PWakeLight__State_D2_D6"	12	176	55	72	0.73711731771723
"PWakeLight__State_D2_D6"	16	173	34	45	0.738284208793018
"PWakeLight__D6_D1"	8	169	66	94	0.527596841121411
"PWakeLight__D6_D1"	12	169	55	72	0.53608276427535
"PWakeLight__D6_D1"	16	166	34	45	0.464778527910423
"PWakeLight__Late2_Early2"	8	169	66	94	0.457173173914418
"PWakeLight__Late2_Early2"	12	169	55	72	0.526790271821481
"PWakeLight__Late2_Early2"	16	166	34	45	0.495208299028487
"PDozeLight__State_D2_D6"	8	172	56	78	0.469490721714665
"PDozeLight__State_D2_D6"	12	164	42	57	0.426201220055575
"PDozeLight__State_D2_D6"	16	148	23	30	0.600177921103111
"PDozeLight__D6_D1"	8	167	61	85	0.217809544282029
"PDozeLight__D6_D1"	12	163	45	60	0.167151127456598
"PDozeLight__D6_D1"	16	150	23	30	0.148369519891023
"PDozeLight__Late2_Early2"	8	166	56	78	0.144475705750324
"PDozeLight__Late2_Early2"	12	159	39	54	0.123128302120503
"PDozeLight__Late2_Early2"	16	141	22	29	0.111234225915666
"FragmentationLight__State_D2_D6"	8	175	67	95	0.593717303136449
"FragmentationLight__State_D2_D6"	12	171	54	71	0.610153471498899
"FragmentationLight__State_D2_D6"	16	167	30	38	0.635702370860565
"FragmentationLight__D6_D1"	8	169	66	94	0.342760000180611
