model	PC	zt	loading	centre	score_sd	variance_fraction
"moving_raw"	"PC1"	0.25	0.0855868007370059	0.35529626526792	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	0.75	0.0872555778683602	0.316818990263708	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	1.25	0.0887468812030414	0.299391614541792	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	1.75	0.0865817866972466	0.271404667272216	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	2.25	0.0863569623205835	0.252945436178828	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	2.75	0.0849389086850347	0.239168032416603	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	3.25	0.0870186033271562	0.226110297660711	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	3.75	0.0868896158397559	0.222586471893745	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	4.25	0.0869847754931402	0.222996950456603	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	4.75	0.0911694636590523	0.231218350944559	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	5.25	0.097579009501053	0.245804617309831	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	5.75	0.101953842136626	0.262658906064401	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	6.25	0.103723862007076	0.284095998023223	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	6.75	0.107495827421814	0.307256810785471	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	7.25	0.116529128571568	0.429723442585886	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	7.75	0.144624982266149	0.45128305744574	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	8.25	0.151722047594846	0.581052982103838	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	8.75	0.167435509202051	0.570682871351563	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	9.25	0.175722562129052	0.580472878116535	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	9.75	0.185604954129274	0.529497751991758	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	10.25	0.192459954266034	0.456439831684181	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	10.75	0.193007774231889	0.388682349710415	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	11.25	0.184887235120404	0.321900246796154	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	11.75	0.171651048387971	0.264293610118745	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	12.25	0.163044930471168	0.22877234584208	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	12.75	0.149137645682041	0.204679075745999	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	13.25	0.140878036102925	0.191986453782043	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	13.75	0.134650081842105	0.185620481734094	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	14.25	0.135740178572207	0.185140350820149	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	14.75	0.137269875146323	0.187150023023023	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	15.25	0.142228227946938	0.192031193036662	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	15.75	0.143636469308703	0.197664898900101	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	16.25	0.150256954430816	0.204505585664667	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	16.75	0.153106617228684	0.210392170171807	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	17.25	0.158041632510514	0.220307196219123	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	17.75	0.162190546806157	0.232731884409033	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	18.25	0.169490929578586	0.246965649236512	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	18.75	0.171420765652122	0.261609273939782	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	19.25	0.172901442570547	0.280759271720503	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	19.75	0.174542443922262	0.302111352189476	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	20.25	0.172535151367266	0.33020158354341	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	20.75	0.176135467541044	0.360585238430235	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	21.25	0.175693950553639	0.38161836964837	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	21.75	0.178145769279323	0.397939309411475	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	22.25	0.175955264923604	0.407526641097033	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	22.75	0.171673711204792	0.415215801302279	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	23.25	0.121073295232043	0.407684421452151	0.851331620100034	0.486236880458467
"moving_raw"	"PC1"	23.75	0.11737112632799	0.393253038321947	0.851331620100034	0.486236880458467
"moving_raw"	"PC2"	0.25	-0.223547714422882	0.35529626526792	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	0.75	-0.237479451448	0.316818990263708	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	1.25	-0.2243745391137	0.299391614541792	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	1.75	-0.210994697961983	0.271404667272216	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	2.25	-0.1928515978463	0.252945436178828	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	2.75	-0.178611885459647	0.239168032416603	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	3.25	-0.160589147826373	0.226110297660711	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	3.75	-0.157211675551915	0.222586471893745	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	4.25	-0.154092341493993	0.222996950456603	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	4.75	-0.149566916704902	0.231218350944559	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	5.25	-0.132352448382919	0.245804617309831	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	5.75	-0.127516157647284	0.262658906064401	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	6.25	-0.127633422607074	0.284095998023223	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	6.75	-0.133645409936614	0.307256810785471	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	7.25	-0.0233296892934201	0.429723442585886	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	7.75	0.111190290205736	0.45128305744574	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	8.25	0.195981656993471	0.581052982103838	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	8.75	0.268963140237672	0.570682871351563	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	9.25	0.276949679933625	0.580472878116535	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	9.75	0.280615370841135	0.529497751991758	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	10.25	0.264310302330023	0.456439831684181	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	10.75	0.230735229918114	0.388682349710415	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	11.25	0.180835755007688	0.321900246796154	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	11.75	0.124510012614317	0.264293610118745	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	12.25	0.0852685866613173	0.22877234584208	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	12.75	0.0614419334188459	0.204679075745999	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	13.25	0.0435168716267542	0.191986453782043	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	13.75	0.0224826384333617	0.185620481734094	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	14.25	0.0137406496875371	0.185140350820149	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	14.75	0.00111471998576686	0.187150023023023	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	15.25	-0.00815360157257524	0.192031193036662	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	15.75	-0.00881939552682908	0.197664898900101	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	16.25	-0.0111963893218576	0.204505585664667	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	16.75	-0.0156025314903561	0.210392170171807	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	17.25	-0.0216709613849888	0.220307196219123	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	17.75	-0.034777837004299	0.232731884409033	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	18.25	-0.0352096220547856	0.246965649236512	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	18.75	-0.0324937973042324	0.261609273939782	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	19.25	-0.0309407913269218	0.280759271720503	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	19.75	-0.0373865059568828	0.302111352189476	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	20.25	-0.0514828724700947	0.33020158354341	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	20.75	-0.0681587016218944	0.360585238430235	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	21.25	-0.0669411056719442	0.38161836964837	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	21.75	-0.0780146185300792	0.397939309411475	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	22.25	-0.0787313692692832	0.407526641097033	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	22.75	-0.0820186738823832	0.415215801302279	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	23.25	-0.147389579816329	0.407684421452151	0.522229459257245	0.182967140996258
"moving_raw"	"PC2"	23.75	-0.204273930140451	0.393253038321947	0.522229459257245	0.182967140996258
"moving_raw"	"PC3"	0.25	0.207690622382805	0.35529626526792	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	0.75	0.24299715008722	0.316818990263708	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	1.25	0.222381459853217	0.299391614541792	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	1.75	0.209702711715585	0.271404667272216	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	2.25	0.181370139079033	0.252945436178828	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	2.75	0.153177214914123	0.239168032416603	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	3.25	0.126377435561169	0.226110297660711	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	3.75	0.116398676677552	0.222586471893745	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	4.25	0.110651568440885	0.222996950456603	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	4.75	0.100076097884653	0.231218350944559	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	5.25	0.0798761352169163	0.245804617309831	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	5.75	0.0617528681629047	0.262658906064401	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	6.25	0.0680381115709503	0.284095998023223	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	6.75	0.0678637126368282	0.307256810785471	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	7.25	0.0115491268447415	0.429723442585886	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	7.75	0.0208707320427334	0.45128305744574	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	8.25	0.0435577199208775	0.581052982103838	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	8.75	0.115259330007844	0.570682871351563	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	9.25	0.179127211288369	0.580472878116535	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	9.75	0.233499636294141	0.529497751991758	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	10.25	0.246574443282975	0.456439831684181	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	10.75	0.206065494330955	0.388682349710415	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	11.25	0.145447547819426	0.321900246796154	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	11.75	0.078189598638588	0.264293610118745	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	12.25	0.027944386927971	0.22877234584208	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	12.75	-0.0123342150646889	0.204679075745999	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	13.25	-0.0375768938571937	0.191986453782043	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	13.75	-0.0509338170129299	0.185620481734094	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	14.25	-0.0715583865351867	0.185140350820149	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	14.75	-0.0845317525606637	0.187150023023023	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	15.25	-0.0906912556164416	0.192031193036662	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	15.75	-0.0918091510170659	0.197664898900101	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	16.25	-0.0996598792607969	0.204505585664667	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	16.75	-0.112009204227622	0.210392170171807	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	17.25	-0.12629076046704	0.220307196219123	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	17.75	-0.139199059804746	0.232731884409033	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	18.25	-0.160506879316479	0.246965649236512	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	18.75	-0.171896714748485	0.261609273939782	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	19.25	-0.182858954133214	0.280759271720503	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	19.75	-0.19426983798649	0.302111352189476	0.406997932724461	0.111130885436813
"moving_raw"	"PC3"	20.25	-0.214327376891792	0.33020158354341	0.406997932724461	0.111130885436813
