model	PC	variance_fraction	n_training_lines	n_projected_flies
"moving_change"	14	0.00845771942841897	169	6008
"moving_change"	15	0.0075132498267802	169	6008
"moving_change"	16	0.00743630894540347	169	6008
"moving_change"	17	0.00552780934835127	169	6008
"moving_change"	18	0.00513632177374863	169	6008
"moving_change"	19	0.00444079026208833	169	6008
"moving_change"	20	0.00365502859126949	169	6008
"moving_change"	21	0.00352863256088248	169	6008
"moving_change"	22	0.0027938354956541	169	6008
"moving_change"	23	0.00269635748005648	169	6008
"moving_change"	24	0.00268034117242812	169	6008
"moving_change"	25	0.00238428268130691	169	6008
"moving_change"	26	0.00206324402216347	169	6008
"moving_change"	27	0.00199245155878926	169	6008
"moving_change"	28	0.00181989966155015	169	6008
"moving_change"	29	0.00167591746693566	169	6008
"moving_change"	30	0.00142963010694864	169	6008
"moving_change"	31	0.00130110324554266	169	6008
"moving_change"	32	0.0012289993306208	169	6008
"moving_change"	33	0.00120276835572442	169	6008
"moving_change"	34	0.00115477789687256	169	6008
"moving_change"	35	0.00105965550163158	169	6008
"moving_change"	36	0.000940621990556239	169	6008
"moving_change"	37	0.000890776132734256	169	6008
"moving_change"	38	0.000829433075718453	169	6008
"moving_change"	39	0.000758957563902503	169	6008
"moving_change"	40	0.000742167321310023	169	6008
"moving_change"	41	0.000683728071437516	169	6008
"moving_change"	42	0.000631680072227339	169	6008
"moving_change"	43	0.000601969200915143	169	6008
"moving_change"	44	0.000528504522463003	169	6008
"moving_change"	45	0.000463264490590637	169	6008
"moving_change"	46	0.00042850509989321	169	6008
"moving_change"	47	0.000379118304442207	169	6008
"moving_change"	48	0.000275300264562084	169	6008
"sleep_raw"	1	0.458184138369875	176	6228
"sleep_raw"	2	0.200530698957835	176	6228
"sleep_raw"	3	0.116485246500102	176	6228
"sleep_raw"	4	0.0676728222874991	176	6228
"sleep_raw"	5	0.0485353488074474	176	6228
"sleep_raw"	6	0.0241115129746689	176	6228
"sleep_raw"	7	0.0239811471571478	176	6228
"sleep_raw"	8	0.0141559125396102	176	6228
"sleep_raw"	9	0.0115091461181357	176	6228
"sleep_raw"	10	0.00888510141559701	176	6228
"sleep_raw"	11	0.00566547875398608	176	6228
"sleep_raw"	12	0.00366760509392993	176	6228
"sleep_raw"	13	0.00319130360861838	176	6228
"sleep_raw"	14	0.00258878539525328	176	6228
"sleep_raw"	15	0.00150733111283789	176	6228
"sleep_raw"	16	0.00129045726372686	176	6228
"sleep_raw"	17	0.000901039914901462	176	6228
"sleep_raw"	18	0.000775271824883346	176	6228
"sleep_raw"	19	0.000726919509109561	176	6228
"sleep_raw"	20	0.000565516741920261	176	6228
"sleep_raw"	21	0.000484341671231216	176	6228
"sleep_raw"	22	0.000463060616972415	176	6228
"sleep_raw"	23	0.000408921541648745	176	6228
"sleep_raw"	24	0.000395191115983557	176	6228
"sleep_raw"	25	0.000336125368940249	176	6228
"sleep_raw"	26	0.000318599579370928	176	6228
"sleep_raw"	27	0.000253216715260441	176	6228
"sleep_raw"	28	0.000227556513763031	176	6228
"sleep_raw"	29	0.000220517131959415	176	6228
"sleep_raw"	30	0.000196445708492295	176	6228
"sleep_raw"	31	0.000165550854646166	176	6228
"sleep_raw"	32	0.000159666370216016	176	6228
"sleep_raw"	33	0.000147516765821208	176	6228
"sleep_raw"	34	0.000140445438640252	176	6228
"sleep_raw"	35	0.000132614035113524	176	6228
"sleep_raw"	36	0.000124854711211283	176	6228
"sleep_raw"	37	0.000120499858178274	176	6228
"sleep_raw"	38	0.000107002081587571	176	6228
"sleep_raw"	39	0.000102758077955268	176	6228
"sleep_raw"	40	8.71978952787597e-05	176	6228
"sleep_raw"	41	8.351009671566e-05	176	6228
"sleep_raw"	42	7.66051647667155e-05	176	6228
"sleep_raw"	43	6.79085174239069e-05	176	6228
"sleep_raw"	44	5.75431303930069e-05	176	6228
"sleep_raw"	45	5.55253658728256e-05	176	6228
"sleep_raw"	46	5.05329162574819e-05	176	6228
"sleep_raw"	47	4.48863795898045e-05	176	6228
"sleep_raw"	48	4.06220296257609e-05	176	6228
"sleep_centered_shape"	1	0.367076926519197	176	6228
