PCA_phenotype	comparison_phenotype	rho	paired_lines
"PCA_moving_centered_shape_PC1"	"TwoHarmonicR2__D6_D1"	-0.0814777982198797	169
"PCA_moving_centered_shape_PC1"	"LongestBoutDark__State_D2_D6"	-0.0820999339643407	176
"PCA_moving_centered_shape_PC1"	"MovingDark__Late2_Early2"	-0.103728813559322	176
"PCA_moving_centered_shape_PC1"	"ActivityDark__D6_D1"	-0.131749944970284	176
"PCA_moving_centered_shape_PC1"	"DuskResponse__D6_D1"	-0.140843055249835	176
"PCA_moving_centered_shape_PC1"	"DuskAnticipation__Late2_Early2"	-0.142511878137013	167
"PCA_moving_centered_shape_PC1"	"ActivityDark__Late2_Early2"	-0.156634382566586	176
"PCA_moving_centered_shape_PC1"	"TotalSleep__State_D2_D6"	-0.205487563284173	176
"PCA_moving_centered_shape_PC1"	"Harmonic12Amplitude__D6_D1"	-0.232161503654716	169
"PCA_moving_centered_shape_PC1"	"ActivityLight__State_D2_D6"	-0.243438256658596	176
"PCA_moving_centered_shape_PC1"	"ActivityContrast__D6_D1"	-0.255855004723783	169
"PCA_moving_centered_shape_PC1"	"ActivityContrast__Late2_Early2"	-0.261225200139227	169
"PCA_moving_centered_shape_PC1"	"Harmonic12Amplitude__Late2_Early2"	-0.281684152951121	169
"PCA_moving_centered_shape_PC1"	"MovingLight__State_D2_D6"	-0.286680607528065	176
"PCA_moving_centered_shape_PC1"	"DawnAnticipation__State_D2_D6"	-0.307351970063835	176
"PCA_moving_centered_shape_PC1"	"SiestaMoving__State_D2_D6"	-0.35667400396214	176
"PCA_moving_centered_shape_PC1"	"LDIntradailyVariability__State_D2_D6"	-0.391811578252256	176
"PCA_moving_centered_shape_PC1"	"MorningPeakOffset__State_D2_D6"	-0.396400666944953	172
"PCA_moving_centered_shape_PC1"	"FragmentationLight__State_D2_D6"	-0.408528884908195	175
"PCA_moving_centered_shape_PC1"	"PWakeLight__State_D2_D6"	-0.420145278450363	176
"PCA_moving_centered_shape_PC1"	"DarkSleep__State_D2_D6"	-0.427743781642087	176
"PCA_moving_centered_shape_PC1"	"PDozeDark__State_D2_D6"	-0.465698877393793	176
"PCA_moving_centered_shape_PC1"	"EveningPeakAmplitude__D6_D1"	-0.488389438615683	169
"PCA_moving_centered_shape_PC1"	"EveningPeakAmplitude__Late2_Early2"	-0.49110437074238	169
"PCA_moving_centered_shape_PC1"	"SleepAllocation__State_D2_D6"	-0.788432753686991	176
"PCA_moving_centered_shape_PC2"	"DarkCoreMoving__State_D2_D6"	0.392095531587057	176
"PCA_moving_centered_shape_PC2"	"FragmentationDark__State_D2_D6"	0.341366938146599	176
"PCA_moving_centered_shape_PC2"	"ActivityContrast__State_D2_D6"	0.331149020471054	176
"PCA_moving_centered_shape_PC2"	"PWakeDark__State_D2_D6"	0.281439577371781	176
"PCA_moving_centered_shape_PC2"	"FragmentationDark__D6_D1"	0.223808056350429	176
"PCA_moving_centered_shape_PC2"	"PWakeDark__D6_D1"	0.220217917675545	176
"PCA_moving_centered_shape_PC2"	"ActivityLight__D6_D1"	0.216990701606086	169
"PCA_moving_centered_shape_PC2"	"SiestaMoving__D6_D1"	0.204752501586548	169
"PCA_moving_centered_shape_PC2"	"ActivityLight__Late2_Early2"	0.197409377952364	169
"PCA_moving_centered_shape_PC2"	"LDIntradailyVariability__State_D2_D6"	0.189848117983711	176
"PCA_moving_centered_shape_PC2"	"DarkCoreMoving__D6_D1"	0.188835571208453	176
"PCA_moving_centered_shape_PC2"	"DuskAnticipation__State_D2_D6"	0.188531087326346	173
"PCA_moving_centered_shape_PC2"	"LightSleep__State_D2_D6"	0.186508914814	176
"PCA_moving_centered_shape_PC2"	"PDozeDark__Late2_Early2"	0.184604886638785	176
"PCA_moving_centered_shape_PC2"	"ActivityDark__State_D2_D6"	0.175657054809597	176
"PCA_moving_centered_shape_PC2"	"FragmentationDark__Late2_Early2"	0.167596302003082	176
"PCA_moving_centered_shape_PC2"	"PWakeDark__Late2_Early2"	0.161336121505613	176
"PCA_moving_centered_shape_PC2"	"MovingDark__State_D2_D6"	0.160228923618754	176
"PCA_moving_centered_shape_PC2"	"PDozeDark__D6_D1"	0.149700638344706	176
"PCA_moving_centered_shape_PC2"	"DarkCoreMoving__Late2_Early2"	0.147406999779881	176
"PCA_moving_centered_shape_PC2"	"FragmentationLight__D6_D1"	0.135266769429665	169
"PCA_moving_centered_shape_PC2"	"PWakeLight__D6_D1"	0.133909303366317	169
"PCA_moving_centered_shape_PC2"	"MovingLight__Late2_Early2"	0.13180349062702	169
"PCA_moving_centered_shape_PC2"	"MovingLight__D6_D1"	0.122686589428671	169
"PCA_moving_centered_shape_PC2"	"SiestaMoving__Late2_Early2"	0.119432151558848	169
"PCA_moving_centered_shape_PC2"	"SleepAllocation__Late2_Early2"	0.0917855899756353	169
"PCA_moving_centered_shape_PC2"	"WakingActivityDark__State_D2_D6"	0.0908892802113141	176
"PCA_moving_centered_shape_PC2"	"PWakeLight__Late2_Early2"	0.0802695042514047	169
"PCA_moving_centered_shape_PC2"	"MorningPeakAmplitude__State_D2_D6"	0.0695355491965661	176
"PCA_moving_centered_shape_PC2"	"MovingDark__D6_D1"	0.0629165749504733	176
"PCA_moving_centered_shape_PC2"	"SleepAllocation__D6_D1"	0.0592685594948039	169
"PCA_moving_centered_shape_PC2"	"MovingDark__Late2_Early2"	0.0463064054589478	176
"PCA_moving_centered_shape_PC2"	"PDozeDark__State_D2_D6"	0.0399603786044464	176
"PCA_moving_centered_shape_PC2"	"ActivityDark__D6_D1"	0.0386682808716707	176
"PCA_moving_centered_shape_PC2"	"FragmentationLight__Late2_Early2"	0.0305601814123233	168
"PCA_moving_centered_shape_PC2"	"ActivityDark__Late2_Early2"	0.0133898305084746	176
"PCA_moving_centered_shape_PC2"	"Harmonic12Amplitude__State_D2_D6"	-0.0139951573849879	176
"PCA_moving_centered_shape_PC2"	"TwoHarmonicR2__D6_D1"	-0.0223683556262742	169
"PCA_moving_centered_shape_PC2"	"TwoHarmonicR2__Late2_Early2"	-0.0384665108647009	169
"PCA_moving_centered_shape_PC2"	"Harmonic12Amplitude__D6_D1"	-0.0424220575804286	169
"PCA_moving_centered_shape_PC2"	"FragmentationLight__State_D2_D6"	-0.0534505150022391	175
"PCA_moving_centered_shape_PC2"	"PDozeLight__D6_D1"	-0.0553608789306069	167
"PCA_moving_centered_shape_PC2"	"Harmonic12Amplitude__Late2_Early2"	-0.0618169161155587	169
