phenotype	Batch	Genotype	value	n_flies	n_retained	mad	q25	q75	metric	contrast	family	selection_class
"ActivityContrast__D6_D1"	"Batch4c_DGRP"	"DGRP391"	-0.278212346062146	16	16	0.229809028468445	-0.430971805261205	-0.129200720933378	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch4c_DGRP"	"DGRP707"	-0.100137911889216	10	10	0.0855668268313301	-0.144415537748381	-0.0450848372936322	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch4c_DGRP"	"DGRP380"	-0.0455797501150852	22	22	0.187303771312141	-0.126842311160356	0.0906682641529371	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch4c_DGRP"	"DGRP437"	0.0308620604445058	16	16	0.359574377706955	-0.163880751375051	0.287025631656357	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch4c_DGRP"	"DGRP639"	-0.221923123273162	14	14	0.162030447508365	-0.260408181979733	-0.0778675656731117	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch4c_DGRP"	"DGRP732"	-0.0547695645682942	28	28	0.161066997235743	-0.12972346028378	0.0764771490652631	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch4c_DGRP"	"DGRP374"	-0.0578656573145205	26	26	0.110115423416331	-0.128565696998849	0.0133275502185047	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch4c_DGRP"	"DGRP486"	-0.163577652955391	22	22	0.250602323077381	-0.323762956003523	0.00675194764212568	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch6_DGRP"	"DGRP59"	-0.00735456483967045	27	27	0.170138673191873	-0.0977263581004579	0.157156048158873	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch6_DGRP"	"DGRP101"	-0.184391239449628	27	27	0.142403416682541	-0.257085051233106	-0.0813991581891159	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch6_DGRP"	"DGRP318"	0.0319376487259799	24	24	0.207260666109138	-0.111557449570362	0.152452635853742	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch6_DGRP"	"DGRP335"	0.136987364548144	17	17	0.19990828706068	-0.109143961355364	0.229210842206188	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch6_DGRP"	"DGRP338"	-0.127842660579195	14	14	0.137554955534122	-0.201087187595663	-0.0303452794576329	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch6_DGRP"	"DGRP584"	-0.129567086266553	9	9	0.140771625158752	-0.30918242061519	-0.0411111163148242	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch6_DGRP"	"DGRP796"	-0.0833904296002125	22	22	0.238776800874919	-0.153294202512542	0.0934817296848508	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch6_DGRP"	"CS"	-0.100066638712982	24	24	0.133902712877785	-0.209185877910406	-0.034946720086823	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch6_DGRP"	"DGRP31"	-0.106381057686905	24	24	0.148712670865504	-0.187603935954751	0.0036960583492114	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch5b_DGRP"	"DGRP843"	-0.0686441754372576	22	22	0.135906128726917	-0.091078035906792	0.0807259993749046	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch5b_DGRP"	"DGRP379"	0.010006517020035	24	24	0.145111538516068	-0.0840799962023033	0.100413925746579	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
