model	resampling	bin	zt	median	q025	q975
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	46	22.75	0.170507722924482	0.147822013258	0.192103728952583
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	47	23.25	0.12061474704136	0.0919804779173367	0.148053875481028
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	48	23.75	0.116352376759527	0.075390750952765	0.151752098103636
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	1	0.25	-0.210937255309561	-0.273790487341514	-0.14883694058596
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	2	0.75	-0.225158836916292	-0.292990944750907	-0.149554250916131
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	3	1.25	-0.214671266431932	-0.267294363510553	-0.142915114100366
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	4	1.75	-0.203831096660679	-0.254682621602875	-0.135152041418058
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	5	2.25	-0.186625797384283	-0.228817360207971	-0.124694717438145
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	6	2.75	-0.172487524637242	-0.207333246964596	-0.119090652500935
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	7	3.25	-0.153754795493412	-0.185747069452723	-0.109840658858197
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	8	3.75	-0.149547373514039	-0.17941415733685	-0.109861808819112
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	9	4.25	-0.147259948478957	-0.175491339936134	-0.109007910466199
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	10	4.75	-0.140000303581399	-0.166580261567045	-0.105822495975256
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	11	5.25	-0.12110307304936	-0.147384806294239	-0.0903851014759623
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	12	5.75	-0.113485038562812	-0.139837218046167	-0.082045817190957
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	13	6.25	-0.112591245441665	-0.141780770623084	-0.0782306010341937
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	14	6.75	-0.115822244354881	-0.144133811578209	-0.0826349505471696
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	15	7.25	-0.0100258400098606	-0.0561365597263065	0.0307415490282329
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	16	7.75	0.125827838802822	0.0522764612429062	0.194553260785115
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	17	8.25	0.203596089736336	0.139261131623497	0.266246740062945
