model	resampling	metric	n_valid	median	q025	q975
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	"variance_fraction_PC1"	200	0.354876439122718	0.334980842903537	0.387643466356432
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	"variance_fraction_PC2"	500	0.185246342743772	0.149464535852071	0.22828731015496
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	"variance_fraction_PC2"	500	0.217716380574872	0.179708081582885	0.255422749079535
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	"variance_fraction_PC2"	200	0.180375206565131	0.166231336661216	0.205924154451086
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	"variance_fraction_PC2"	200	0.211738102243332	0.200104081377202	0.223684481476335
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	"variance_fraction_PC3"	500	0.110667250197158	0.0893035729936488	0.138547555410406
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	"variance_fraction_PC3"	500	0.133270096277796	0.106283257388762	0.163680704610264
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	"variance_fraction_PC3"	200	0.110117384560519	0.10286083384505	0.117558332321567
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	"variance_fraction_PC3"	200	0.132671961098686	0.11932689482246	0.145460231146084
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	"variance_gap_PC1_PC2"	500	0.305393302361207	0.20554294124253	0.388496903893227
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	"variance_gap_PC1_PC2"	500	0.154388092162002	0.0719648649373245	0.235722274064935
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	"variance_gap_PC1_PC2"	200	0.299660337801834	0.257380750901572	0.329865751178313
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	"variance_gap_PC1_PC2"	200	0.142495558649315	0.116708907421077	0.184470589537602
