Genotype	value	n_batches	total_flies	phenotype
"DGRP100"	1107.3864950057	1	28	"TotalSleep__State_D2_D6"
"DGRP101"	923.472121508683	1	27	"TotalSleep__State_D2_D6"
"DGRP105"	614.128217457796	1	20	"TotalSleep__State_D2_D6"
"DGRP109"	870.2864950057	1	30	"TotalSleep__State_D2_D6"
"DGRP129"	1061.1864950057	1	29	"TotalSleep__State_D2_D6"
"DGRP136"	965.007304252631	1	22	"TotalSleep__State_D2_D6"
"DGRP142"	601.5864950057	1	30	"TotalSleep__State_D2_D6"
"DGRP149"	440.7864950057	1	29	"TotalSleep__State_D2_D6"
"DGRP161"	1035.9309574228	2	35	"TotalSleep__State_D2_D6"
"DGRP176"	1015.86125168494	1	29	"TotalSleep__State_D2_D6"
"DGRP181"	780.902805115948	2	43	"TotalSleep__State_D2_D6"
"DGRP189"	754.294482559677	2	39	"TotalSleep__State_D2_D6"
"DGRP195"	962.552647024326	2	33	"TotalSleep__State_D2_D6"
"DGRP208"	560.014339404803	2	54	"TotalSleep__State_D2_D6"
"DGRP21"	995.861251684939	1	17	"TotalSleep__State_D2_D6"
"DGRP217"	709.440304747259	2	41	"TotalSleep__State_D2_D6"
"DGRP228"	991.481977049969	1	23	"TotalSleep__State_D2_D6"
"DGRP229"	824.6864950057	1	30	"TotalSleep__State_D2_D6"
"DGRP235"	973.310031497996	2	28	"TotalSleep__State_D2_D6"
"DGRP239"	1056.26410823437	2	44	"TotalSleep__State_D2_D6"
"DGRP26"	1090.57089152191	2	39	"TotalSleep__State_D2_D6"
"DGRP280"	762.461251684939	1	27	"TotalSleep__State_D2_D6"
"DGRP287"	1023.88197704997	1	24	"TotalSleep__State_D2_D6"
"DGRP301"	1031.98666624445	1	23	"TotalSleep__State_D2_D6"
"DGRP303"	1151.62685549169	2	42	"TotalSleep__State_D2_D6"
"DGRP304"	981.726855491686	2	48	"TotalSleep__State_D2_D6"
"DGRP306"	804.161251684939	1	30	"TotalSleep__State_D2_D6"
"DGRP307"	1030.42685549169	2	51	"TotalSleep__State_D2_D6"
"DGRP309"	911.24303625128	2	40	"TotalSleep__State_D2_D6"
"DGRP31"	984.372121508683	1	24	"TotalSleep__State_D2_D6"
"DGRP310"	580.758772224845	2	49	"TotalSleep__State_D2_D6"
"DGRP313"	827.326855491688	2	58	"TotalSleep__State_D2_D6"
"DGRP317"	570.279084433173	1	25	"TotalSleep__State_D2_D6"
"DGRP318"	608.872121508682	1	24	"TotalSleep__State_D2_D6"
"DGRP319"	1076.57593132187	3	44	"TotalSleep__State_D2_D6"
"DGRP32"	947.434794974427	1	29	"TotalSleep__State_D2_D6"
"DGRP320"	1109.39303625128	2	31	"TotalSleep__State_D2_D6"
"DGRP321"	843.91040294811	2	47	"TotalSleep__State_D2_D6"
"DGRP324"	1023.97685549169	2	55	"TotalSleep__State_D2_D6"
"DGRP332"	1080.59303625128	2	39	"TotalSleep__State_D2_D6"
"DGRP335"	1245.82784461698	3	40	"TotalSleep__State_D2_D6"
"DGRP336"	1114.35063808352	4	61	"TotalSleep__State_D2_D6"
"DGRP338"	1134.90692148586	2	39	"TotalSleep__State_D2_D6"
"DGRP348"	699.279084433174	1	20	"TotalSleep__State_D2_D6"
"DGRP350"	971.079084433173	1	20	"TotalSleep__State_D2_D6"
"DGRP352"	297.479084433172	1	25	"TotalSleep__State_D2_D6"
"DGRP354"	876.688513946436	2	51	"TotalSleep__State_D2_D6"
"DGRP355"	1036.3979434597	1	29	"TotalSleep__State_D2_D6"
"DGRP356"	717.369832461372	2	44	"TotalSleep__State_D2_D6"
"DGRP357"	839.560730609441	1	24	"TotalSleep__State_D2_D6"
"DGRP358"	761.276855491684	2	47	"TotalSleep__State_D2_D6"
"DGRP359"	881.797943459698	1	23	"TotalSleep__State_D2_D6"
"DGRP360"	668.326855491687	2	47	"TotalSleep__State_D2_D6"
"DGRP361"	1071.58562435079	2	27	"TotalSleep__State_D2_D6"
"DGRP362"	1024.52685549169	2	59	"TotalSleep__State_D2_D6"
"DGRP365"	758.186666244451	1	23	"TotalSleep__State_D2_D6"
"DGRP370"	970.197943459698	1	25	"TotalSleep__State_D2_D6"
"DGRP371"	488.997943459698	1	28	"TotalSleep__State_D2_D6"
"DGRP373"	1072.86125168494	1	24	"TotalSleep__State_D2_D6"
"DGRP374"	899.225518437914	1	26	"TotalSleep__State_D2_D6"
"DGRP375"	996.326855491687	2	44	"TotalSleep__State_D2_D6"
"DGRP377"	470.097943459698	1	22	"TotalSleep__State_D2_D6"
"DGRP379"	913.128217457795	1	24	"TotalSleep__State_D2_D6"
"DGRP38"	374.479084433172	1	25	"TotalSleep__State_D2_D6"
"DGRP380"	888.871955462978	3	63	"TotalSleep__State_D2_D6"
"DGRP381"	755.097943459697	1	28	"TotalSleep__State_D2_D6"
"DGRP382"	1151.43848520473	2	32	"TotalSleep__State_D2_D6"
"DGRP383"	772.238485204732	1	21	"TotalSleep__State_D2_D6"
"DGRP385"	835.197943459697	1	29	"TotalSleep__State_D2_D6"
"DGRP386"	714.196112477927	2	41	"TotalSleep__State_D2_D6"
"DGRP390"	781.597943459698	1	23	"TotalSleep__State_D2_D6"
"DGRP391"	705.396116474337	4	91	"TotalSleep__State_D2_D6"
"DGRP392"	787.438485204732	1	31	"TotalSleep__State_D2_D6"
"DGRP395"	956.038485204731	1	25	"TotalSleep__State_D2_D6"
"DGRP397"	826.238485204731	1	30	"TotalSleep__State_D2_D6"
"DGRP399"	624.645173975509	2	46	"TotalSleep__State_D2_D6"
"DGRP40"	823.399344943414	3	50	"TotalSleep__State_D2_D6"
"DGRP405"	673.438485204732	1	24	"TotalSleep__State_D2_D6"
"DGRP406"	841.738485204732	1	22	"TotalSleep__State_D2_D6"
"DGRP409"	1127.85079287439	2	34	"TotalSleep__State_D2_D6"
"DGRP41"	882.234794974427	1	25	"TotalSleep__State_D2_D6"
"DGRP426"	965.638485204732	1	15	"TotalSleep__State_D2_D6"
"DGRP427"	534.138485204732	1	22	"TotalSleep__State_D2_D6"
"DGRP437"	718.300592328013	3	52	"TotalSleep__State_D2_D6"
"DGRP439"	918.238485204731	1	27	"TotalSleep__State_D2_D6"
"DGRP440"	647.038485204732	1	25	"TotalSleep__State_D2_D6"
"DGRP441"	979.450761349841	3	63	"TotalSleep__State_D2_D6"
"DGRP443"	496.638485204731	1	25	"TotalSleep__State_D2_D6"
"DGRP45"	1012.43479497443	1	25	"TotalSleep__State_D2_D6"
"DGRP461"	1087.58498874321	1	14	"TotalSleep__State_D2_D6"
"DGRP48"	854.934794974427	1	22	"TotalSleep__State_D2_D6"
"DGRP486"	603.153747743942	2	38	"TotalSleep__State_D2_D6"
"DGRP491"	1034.45262495946	2	39	"TotalSleep__State_D2_D6"
"DGRP492"	964.645742720764	3	42	"TotalSleep__State_D2_D6"
"DGRP502"	776.110189589618	2	43	"TotalSleep__State_D2_D6"
"DGRP505"	1025.99569061951	1	20	"TotalSleep__State_D2_D6"
"DGRP509"	650.396663517358	1	22	"TotalSleep__State_D2_D6"
"DGRP513"	627.644169077279	3	55	"TotalSleep__State_D2_D6"
"DGRP517"	1032.94171904846	2	41	"TotalSleep__State_D2_D6"
"DGRP528"	806.882500342877	2	44	"TotalSleep__State_D2_D6"
"DGRP531"	1158.57742791471	1	16	"TotalSleep__State_D2_D6"
"DGRP535"	581.750724476912	2	51	"TotalSleep__State_D2_D6"
"DGRP551"	818.946211814787	1	26	"TotalSleep__State_D2_D6"
"DGRP555"	965.645173975507	2	45	"TotalSleep__State_D2_D6"
"DGRP559"	734.571933402236	1	21	"TotalSleep__State_D2_D6"
"DGRP563"	532.829791538536	1	28	"TotalSleep__State_D2_D6"
"DGRP566"	263.749680272889	1	23	"TotalSleep__State_D2_D6"
"DGRP57"	930.234794974427	1	21	"TotalSleep__State_D2_D6"
"DGRP584"	1107.60408586992	2	28	"TotalSleep__State_D2_D6"
"DGRP589"	982.069982340077	1	21	"TotalSleep__State_D2_D6"
"DGRP59"	762.872121508683	1	27	"TotalSleep__State_D2_D6"
"DGRP595"	334.377427914708	1	31	"TotalSleep__State_D2_D6"
"DGRP596"	606.277427914707	1	30	"TotalSleep__State_D2_D6"
"DGRP627"	896.350236601122	1	17	"TotalSleep__State_D2_D6"
"DGRP630"	1106.93729051164	2	42	"TotalSleep__State_D2_D6"
"DGRP634"	667.077427914707	1	24	"TotalSleep__State_D2_D6"
"DGRP639"	761.253747743942	2	32	"TotalSleep__State_D2_D6"
"DGRP69"	998.635805610576	2	32	"TotalSleep__State_D2_D6"
"DGRP703"	365.389326991895	1	31	"TotalSleep__State_D2_D6"
"DGRP705"	1072.92369842695	2	41	"TotalSleep__State_D2_D6"
"DGRP707"	1091.92049226222	2	28	"TotalSleep__State_D2_D6"
"DGRP712"	584.953747743942	2	39	"TotalSleep__State_D2_D6"
"DGRP714"	1198.58666624446	1	19	"TotalSleep__State_D2_D6"
"DGRP716"	960.389326991895	1	19	"TotalSleep__State_D2_D6"
"DGRP721"	575.775271371637	1	21	"TotalSleep__State_D2_D6"
"DGRP73"	1099.17286930792	2	26	"TotalSleep__State_D2_D6"
"DGRP730"	504.195173975508	2	58	"TotalSleep__State_D2_D6"
"DGRP732"	773.253747743942	2	41	"TotalSleep__State_D2_D6"
"DGRP737"	710.789326991895	1	29	"TotalSleep__State_D2_D6"
"DGRP738"	502.313074926607	1	28	"TotalSleep__State_D2_D6"
"DGRP748"	953.982700803714	2	42	"TotalSleep__State_D2_D6"
"DGRP75"	798.034794974427	1	24	"TotalSleep__State_D2_D6"
"DGRP757"	765.874275738487	2	40	"TotalSleep__State_D2_D6"
"DGRP761"	1055.88448693089	1	17	"TotalSleep__State_D2_D6"
"DGRP765"	324.828887732555	3	76	"TotalSleep__State_D2_D6"
"DGRP774"	875.286666244454	1	26	"TotalSleep__State_D2_D6"
"DGRP776"	849.052879160233	1	23	"TotalSleep__State_D2_D6"
"DGRP783"	794.440200603868	2	56	"TotalSleep__State_D2_D6"
"DGRP786"	1201.58666624445	1	27	"TotalSleep__State_D2_D6"
"DGRP787"	823.589326991896	1	29	"TotalSleep__State_D2_D6"
"DGRP790"	1007.96125168494	1	20	"TotalSleep__State_D2_D6"
"DGRP796"	825.672121508683	1	22	"TotalSleep__State_D2_D6"
"DGRP799"	566.086666244446	1	30	"TotalSleep__State_D2_D6"
"DGRP801"	1139.08448693089	1	24	"TotalSleep__State_D2_D6"
"DGRP802"	799.469982340078	1	23	"TotalSleep__State_D2_D6"
"DGRP805"	801.984486930892	1	26	"TotalSleep__State_D2_D6"
"DGRP808"	858.789326991895	1	24	"TotalSleep__State_D2_D6"
"DGRP810"	657.269982340078	1	30	"TotalSleep__State_D2_D6"
"DGRP812"	934.198305979266	1	17	"TotalSleep__State_D2_D6"
"DGRP818"	814.884486930892	1	18	"TotalSleep__State_D2_D6"
"DGRP819"	912.284486930893	1	31	"TotalSleep__State_D2_D6"
"DGRP820"	683.797762791934	2	44	"TotalSleep__State_D2_D6"
"DGRP821"	1079.6626014896	2	30	"TotalSleep__State_D2_D6"
"DGRP822"	1067.87742791471	1	28	"TotalSleep__State_D2_D6"
"DGRP83"	960.120891521906	1	17	"TotalSleep__State_D2_D6"
"DGRP832"	556.860189589619	2	25	"TotalSleep__State_D2_D6"
"DGRP837"	1055.46552422747	2	36	"TotalSleep__State_D2_D6"
"DGRP843"	866.428217457796	1	22	"TotalSleep__State_D2_D6"
"DGRP85"	732.234794974427	1	21	"TotalSleep__State_D2_D6"
"DGRP850"	790.998305979266	1	19	"TotalSleep__State_D2_D6"
"DGRP852"	984.186666244453	1	25	"TotalSleep__State_D2_D6"
"DGRP855"	632.998305979266	1	22	"TotalSleep__State_D2_D6"
"DGRP857"	410.498305979266	1	28	"TotalSleep__State_D2_D6"
"DGRP859"	331.786666244455	1	31	"TotalSleep__State_D2_D6"
"DGRP861"	339.198305979266	1	20	"TotalSleep__State_D2_D6"
"DGRP879"	1111.99830597927	1	19	"TotalSleep__State_D2_D6"
"DGRP88"	807.979084433173	1	22	"TotalSleep__State_D2_D6"
"DGRP890"	638.183377453301	2	55	"TotalSleep__State_D2_D6"
"DGRP897"	954.128217457795	1	24	"TotalSleep__State_D2_D6"
"DGRP900"	687.898305979266	1	28	"TotalSleep__State_D2_D6"
"DGRP907"	802.289326991896	1	30	"TotalSleep__State_D2_D6"
"DGRP908"	1090.0893269919	1	18	"TotalSleep__State_D2_D6"
"DGRP91"	1017.66125168494	1	25	"TotalSleep__State_D2_D6"
"DGRP911"	538.069982340078	1	24	"TotalSleep__State_D2_D6"
"DGRP913"	786.828217457795	1	20	"TotalSleep__State_D2_D6"
"DGRP93"	975.8864950057	1	30	"TotalSleep__State_D2_D6"
"DGRP100"	-120.501167050539	1	28	"TotalSleep__D6_D1"
"DGRP101"	-49.3967561811201	1	27	"TotalSleep__D6_D1"
"DGRP105"	14.4451058336396	1	20	"TotalSleep__D6_D1"
"DGRP109"	-274.501167050539	1	30	"TotalSleep__D6_D1"
"DGRP129"	37.498832949461	1	29	"TotalSleep__D6_D1"
"DGRP136"	-178.906644224896	1	22	"TotalSleep__D6_D1"
"DGRP142"	-261.501167050539	1	30	"TotalSleep__D6_D1"
"DGRP149"	121.498832949461	1	29	"TotalSleep__D6_D1"
"DGRP161"	71.4561110765243	2	35	"TotalSleep__D6_D1"
"DGRP181"	-60.170136662923	2	43	"TotalSleep__D6_D1"
"DGRP189"	-194.187774188431	2	39	"TotalSleep__D6_D1"
"DGRP195"	-17.0090412410759	2	33	"TotalSleep__D6_D1"
"DGRP208"	-277.005856961165	2	54	"TotalSleep__D6_D1"
"DGRP217"	-178.211503915042	2	41	"TotalSleep__D6_D1"
"DGRP228"	-173.29109499566	1	23	"TotalSleep__D6_D1"
"DGRP229"	-74.5011670505391	1	30	"TotalSleep__D6_D1"
"DGRP235"	148.881739589709	2	28	"TotalSleep__D6_D1"
"DGRP239"	-2.07582962062422	2	44	"TotalSleep__D6_D1"
"DGRP26"	15.3736174807216	2	39	"TotalSleep__D6_D1"
"DGRP287"	-136.29109499566	1	24	"TotalSleep__D6_D1"
"DGRP301"	204.942449491877	1	23	"TotalSleep__D6_D1"
"DGRP303"	-158.898956429813	2	42	"TotalSleep__D6_D1"
"DGRP304"	-134.148956429814	2	48	"TotalSleep__D6_D1"
"DGRP307"	-239.148956429814	2	51	"TotalSleep__D6_D1"
"DGRP309"	-222.827753345951	2	40	"TotalSleep__D6_D1"
"DGRP31"	-71.3967561811206	1	24	"TotalSleep__D6_D1"
"DGRP310"	-297.54654809053	2	49	"TotalSleep__D6_D1"
"DGRP313"	4.35104357018676	2	58	"TotalSleep__D6_D1"
"DGRP317"	-196.571053310701	1	25	"TotalSleep__D6_D1"
"DGRP318"	-332.39675618112	1	24	"TotalSleep__D6_D1"
"DGRP319"	-21.1019996275376	3	44	"TotalSleep__D6_D1"
"DGRP32"	-292.668311657355	1	29	"TotalSleep__D6_D1"
"DGRP320"	33.422246654049	2	31	"TotalSleep__D6_D1"
"DGRP321"	-129.610772750705	2	47	"TotalSleep__D6_D1"
"DGRP324"	-211.148956429813	2	55	"TotalSleep__D6_D1"
"DGRP332"	22.6722466540486	2	39	"TotalSleep__D6_D1"
"DGRP335"	-32.9504620543285	3	40	"TotalSleep__D6_D1"
"DGRP336"	-5.23411102686862	4	61	"TotalSleep__D6_D1"
"DGRP338"	-33.7736241859145	2	39	"TotalSleep__D6_D1"
"DGRP348"	47.9289466892994	1	20	"TotalSleep__D6_D1"
"DGRP350"	-151.071053310701	1	20	"TotalSleep__D6_D1"
"DGRP352"	-216.571053310701	1	25	"TotalSleep__D6_D1"
"DGRP354"	25.2285194620049	2	51	"TotalSleep__D6_D1"
"DGRP355"	113.028092234712	1	29	"TotalSleep__D6_D1"
"DGRP356"	-253.561199977999	2	44	"TotalSleep__D6_D1"
"DGRP357"	186.88706891726	1	24	"TotalSleep__D6_D1"
"DGRP358"	-34.3989564298127	2	47	"TotalSleep__D6_D1"
"DGRP359"	-77.9719077652885	1	23	"TotalSleep__D6_D1"
"DGRP360"	-91.8989564298131	2	47	"TotalSleep__D6_D1"
"DGRP361"	55.005864314762	2	27	"TotalSleep__D6_D1"
"DGRP362"	-59.3989564298132	2	59	"TotalSleep__D6_D1"
"DGRP365"	49.9424494918761	1	23	"TotalSleep__D6_D1"
"DGRP370"	-103.971907765289	1	25	"TotalSleep__D6_D1"
"DGRP371"	-427.471907765289	1	28	"TotalSleep__D6_D1"
"DGRP374"	-152.218657751327	1	26	"TotalSleep__D6_D1"
"DGRP375"	-136.398956429811	2	44	"TotalSleep__D6_D1"
"DGRP377"	-203.971907765289	1	22	"TotalSleep__D6_D1"
"DGRP379"	14.9451058336396	1	24	"TotalSleep__D6_D1"
"DGRP38"	-220.571053310701	1	25	"TotalSleep__D6_D1"
"DGRP380"	-101.144107406053	3	63	"TotalSleep__D6_D1"
"DGRP381"	321.528092234711	1	28	"TotalSleep__D6_D1"
"DGRP382"	-9.64931722363703	2	32	"TotalSleep__D6_D1"
"DGRP383"	-53.6493172236371	1	21	"TotalSleep__D6_D1"
"DGRP385"	-279.971907765289	1	29	"TotalSleep__D6_D1"
"DGRP386"	-104.252862404397	2	41	"TotalSleep__D6_D1"
"DGRP390"	-36.9719077652887	1	23	"TotalSleep__D6_D1"
"DGRP391"	-40.8270967985649	4	91	"TotalSleep__D6_D1"
"DGRP392"	-32.6493172236378	1	31	"TotalSleep__D6_D1"
"DGRP395"	-233.649317223638	1	25	"TotalSleep__D6_D1"
"DGRP397"	-155.149317223638	1	30	"TotalSleep__D6_D1"
"DGRP399"	-289.856832233416	2	46	"TotalSleep__D6_D1"
"DGRP40"	-136.752958601894	3	50	"TotalSleep__D6_D1"
"DGRP405"	-23.1493172236381	1	24	"TotalSleep__D6_D1"
"DGRP406"	224.850682776362	1	22	"TotalSleep__D6_D1"
"DGRP409"	-68.2202306342004	2	34	"TotalSleep__D6_D1"
"DGRP41"	-94.6683116573551	1	25	"TotalSleep__D6_D1"
"DGRP426"	-205.649317223638	1	15	"TotalSleep__D6_D1"
"DGRP427"	-45.649317223638	1	22	"TotalSleep__D6_D1"
"DGRP437"	-275.514523263497	3	52	"TotalSleep__D6_D1"
"DGRP439"	34.3506827763621	1	27	"TotalSleep__D6_D1"
"DGRP440"	169.350682776362	1	25	"TotalSleep__D6_D1"
"DGRP441"	57.714371114226	3	63	"TotalSleep__D6_D1"
"DGRP443"	80.3506827763622	1	25	"TotalSleep__D6_D1"
"DGRP45"	-125.668311657355	1	25	"TotalSleep__D6_D1"
"DGRP461"	-139.906205526349	1	14	"TotalSleep__D6_D1"
"DGRP48"	-307.668311657355	1	22	"TotalSleep__D6_D1"
"DGRP486"	-88.2548763734936	2	38	"TotalSleep__D6_D1"
"DGRP491"	-69.6885191688568	2	39	"TotalSleep__D6_D1"
"DGRP492"	-23.6478113101775	3	42	"TotalSleep__D6_D1"
"DGRP502"	331.220644167861	2	43	"TotalSleep__D6_D1"
"DGRP505"	70.3231203944313	1	20	"TotalSleep__D6_D1"
"DGRP509"	-738.330458479791	1	22	"TotalSleep__D6_D1"
"DGRP513"	337.644498706038	3	55	"TotalSleep__D6_D1"
"DGRP517"	-37.5002863786397	2	41	"TotalSleep__D6_D1"
"DGRP528"	-240.622685203214	2	44	"TotalSleep__D6_D1"
"DGRP531"	227.074096725194	1	16	"TotalSleep__D6_D1"
"DGRP535"	-29.2865104170546	2	51	"TotalSleep__D6_D1"
"DGRP551"	-260.499325748728	1	26	"TotalSleep__D6_D1"
"DGRP555"	100.393167766584	2	45	"TotalSleep__D6_D1"
"DGRP559"	-195.769400345723	1	21	"TotalSleep__D6_D1"
"DGRP563"	-459.269400345723	1	28	"TotalSleep__D6_D1"
"DGRP566"	-447.769400345723	1	23	"TotalSleep__D6_D1"
"DGRP57"	-56.6683116573553	1	21	"TotalSleep__D6_D1"
"DGRP584"	16.4169217365785	2	28	"TotalSleep__D6_D1"
"DGRP589"	-30.2141810660719	1	21	"TotalSleep__D6_D1"
"DGRP59"	-102.39675618112	1	27	"TotalSleep__D6_D1"
"DGRP595"	107.074096725194	1	31	"TotalSleep__D6_D1"
"DGRP596"	-212.925903274806	1	30	"TotalSleep__D6_D1"
"DGRP627"	135.230599654278	1	17	"TotalSleep__D6_D1"
"DGRP630"	-61.1075394683209	2	42	"TotalSleep__D6_D1"
"DGRP634"	-148.425903274805	1	24	"TotalSleep__D6_D1"
"DGRP639"	-233.004876373493	2	32	"TotalSleep__D6_D1"
"DGRP69"	-124.974996353069	2	32	"TotalSleep__D6_D1"
"DGRP703"	-384.038202014701	1	31	"TotalSleep__D6_D1"
"DGRP705"	93.1647592045702	2	41	"TotalSleep__D6_D1"
"DGRP707"	-123.744029048525	2	28	"TotalSleep__D6_D1"
"DGRP712"	-223.504876373493	2	39	"TotalSleep__D6_D1"
"DGRP714"	102.942449491878	1	19	"TotalSleep__D6_D1"
"DGRP716"	-12.0382020147008	1	19	"TotalSleep__D6_D1"
"DGRP721"	-305.769400345723	1	21	"TotalSleep__D6_D1"
"DGRP73"	277.838125427855	1	16	"TotalSleep__D6_D1"
"DGRP730"	-269.606832233417	2	58	"TotalSleep__D6_D1"
"DGRP732"	-198.254876373494	2	41	"TotalSleep__D6_D1"
"DGRP737"	-277.038202014701	1	29	"TotalSleep__D6_D1"
"DGRP738"	-135.15206743938	1	28	"TotalSleep__D6_D1"
"DGRP748"	-78.107539468321	2	42	"TotalSleep__D6_D1"
"DGRP75"	-63.6683116573548	1	24	"TotalSleep__D6_D1"
"DGRP757"	-170.901608694614	2	40	"TotalSleep__D6_D1"
"DGRP761"	30.8381254278546	1	17	"TotalSleep__D6_D1"
"DGRP765"	188.406618969045	3	76	"TotalSleep__D6_D1"
"DGRP774"	48.442449491879	1	26	"TotalSleep__D6_D1"
"DGRP776"	-128.769400345723	1	23	"TotalSleep__D6_D1"
"DGRP783"	-194.162147256042	2	56	"TotalSleep__D6_D1"
"DGRP786"	75.9424494918773	1	27	"TotalSleep__D6_D1"
"DGRP787"	-191.038202014701	1	29	"TotalSleep__D6_D1"
"DGRP796"	179.10324381888	1	22	"TotalSleep__D6_D1"
"DGRP799"	-225.057550508123	1	30	"TotalSleep__D6_D1"
"DGRP801"	166.838125427855	1	24	"TotalSleep__D6_D1"
"DGRP802"	80.785818933928	1	23	"TotalSleep__D6_D1"
"DGRP805"	132.338125427854	1	26	"TotalSleep__D6_D1"
"DGRP808"	-86.5382020147007	1	24	"TotalSleep__D6_D1"
"DGRP810"	-130.714181066072	1	30	"TotalSleep__D6_D1"
"DGRP812"	208.56637089905	1	17	"TotalSleep__D6_D1"
"DGRP818"	87.8381254278545	1	18	"TotalSleep__D6_D1"
"DGRP819"	-10.1618745721455	1	31	"TotalSleep__D6_D1"
"DGRP820"	-227.390621370048	2	44	"TotalSleep__D6_D1"
"DGRP821"	124.920070171504	2	30	"TotalSleep__D6_D1"
"DGRP822"	-130.925903274806	1	28	"TotalSleep__D6_D1"
"DGRP83"	76.1236174807216	1	17	"TotalSleep__D6_D1"
"DGRP832"	-185.029355832138	2	25	"TotalSleep__D6_D1"
"DGRP837"	-73.5943471027052	2	36	"TotalSleep__D6_D1"
"DGRP843"	-200.05489416636	1	22	"TotalSleep__D6_D1"
"DGRP85"	-140.668311657355	1	21	"TotalSleep__D6_D1"
"DGRP850"	-76.4336291009505	1	19	"TotalSleep__D6_D1"
"DGRP852"	211.942449491878	1	25	"TotalSleep__D6_D1"
"DGRP855"	-75.9336291009505	1	22	"TotalSleep__D6_D1"
"DGRP857"	-431.93362910095	1	28	"TotalSleep__D6_D1"
"DGRP859"	-85.0575505081222	1	31	"TotalSleep__D6_D1"
"DGRP861"	2.56637089904959	1	20	"TotalSleep__D6_D1"
"DGRP879"	-30.4336291009504	1	19	"TotalSleep__D6_D1"
"DGRP88"	-76.0710533107008	1	22	"TotalSleep__D6_D1"
"DGRP890"	-91.2320526447534	2	55	"TotalSleep__D6_D1"
"DGRP897"	-73.0548941663605	1	24	"TotalSleep__D6_D1"
"DGRP900"	-153.93362910095	1	28	"TotalSleep__D6_D1"
"DGRP907"	-172.038202014701	1	30	"TotalSleep__D6_D1"
"DGRP908"	-43.5382020147012	1	18	"TotalSleep__D6_D1"
"DGRP911"	-369.214181066072	1	24	"TotalSleep__D6_D1"
"DGRP913"	89.4451058336395	1	20	"TotalSleep__D6_D1"
"DGRP93"	-187.001167050539	1	30	"TotalSleep__D6_D1"
"DGRP100"	-112.078945139167	1	28	"TotalSleep__Late2_Early2"
"DGRP101"	-72.4396069188712	1	27	"TotalSleep__Late2_Early2"
"DGRP105"	-65.6272629855484	1	20	"TotalSleep__Late2_Early2"
"DGRP109"	-243.078945139167	1	30	"TotalSleep__Late2_Early2"
"DGRP129"	0.171054860833351	1	29	"TotalSleep__Late2_Early2"
"DGRP136"	-162.050074604525	1	22	"TotalSleep__Late2_Early2"
"DGRP142"	-254.078945139167	1	30	"TotalSleep__Late2_Early2"
"DGRP149"	57.6710548608334	1	29	"TotalSleep__Late2_Early2"
"DGRP161"	-4.90542584726924	2	35	"TotalSleep__Late2_Early2"
"DGRP181"	-46.7453719848422	2	43	"TotalSleep__Late2_Early2"
"DGRP189"	-116.487147510369	2	39	"TotalSleep__Late2_Early2"
"DGRP195"	-20.4907190741583	2	33	"TotalSleep__Late2_Early2"
"DGRP208"	-167.006423743742	2	54	"TotalSleep__Late2_Early2"
"DGRP217"	-113.265845905661	2	41	"TotalSleep__Late2_Early2"
"DGRP228"	-136.933526237581	1	23	"TotalSleep__Late2_Early2"
"DGRP229"	-19.3289451391667	1	30	"TotalSleep__Late2_Early2"
"DGRP235"	115.356440065451	2	28	"TotalSleep__Late2_Early2"
"DGRP239"	-13.540971795914	2	44	"TotalSleep__Late2_Early2"
"DGRP26"	-20.5083016329746	2	39	"TotalSleep__Late2_Early2"
"DGRP287"	-158.183526237581	1	24	"TotalSleep__Late2_Early2"
"DGRP301"	153.900788384118	1	23	"TotalSleep__Late2_Early2"
"DGRP303"	-105.892615585744	2	42	"TotalSleep__Late2_Early2"
"DGRP304"	-87.5176155857455	2	48	"TotalSleep__Late2_Early2"
"DGRP307"	-158.392615585744	2	51	"TotalSleep__Late2_Early2"
"DGRP309"	-158.969591958941	2	40	"TotalSleep__Late2_Early2"
"DGRP31"	-101.939606918871	1	24	"TotalSleep__Late2_Early2"
"DGRP310"	-252.597604898558	2	49	"TotalSleep__Late2_Early2"
"DGRP313"	10.9823844142565	2	58	"TotalSleep__Late2_Early2"
"DGRP317"	-147.898415134726	1	25	"TotalSleep__Late2_Early2"
"DGRP318"	-237.439606918871	1	24	"TotalSleep__Late2_Early2"
"DGRP319"	-50.2307274568485	3	44	"TotalSleep__Late2_Early2"
"DGRP32"	-269.725834482793	1	29	"TotalSleep__Late2_Early2"
"DGRP320"	10.0304080410586	2	31	"TotalSleep__Late2_Early2"
"DGRP321"	-138.825706793694	2	47	"TotalSleep__Late2_Early2"
"DGRP324"	-117.017615585744	2	55	"TotalSleep__Late2_Early2"
"DGRP332"	16.2804080410583	2	39	"TotalSleep__Late2_Early2"
"DGRP335"	-11.7299862985377	3	40	"TotalSleep__Late2_Early2"
"DGRP336"	-0.188556581665111	4	61	"TotalSleep__Late2_Early2"
"DGRP338"	-38.5963026857659	2	39	"TotalSleep__Late2_Early2"
"DGRP348"	18.3515848652737	1	20	"TotalSleep__Late2_Early2"
"DGRP350"	-136.398415134726	1	20	"TotalSleep__Late2_Early2"
"DGRP352"	-129.398415134726	1	25	"TotalSleep__Late2_Early2"
"DGRP354"	20.7438600834373	2	51	"TotalSleep__Late2_Early2"
"DGRP355"	79.886135301602	1	29	"TotalSleep__Late2_Early2"
