phenotype	original_pairs	overlapping_pairs	original_rho	nonoverlapping_rho
"TotalSleep__State_D2_D6"	95	1	0.810983696622097	0.835342776255131
"DarkSleep__D6_D1"	95	1	0.564196108382961	0.566796109490567
"PWakeDark__State_D2_D6"	95	1	0.71250905451606	0.721334170162233
"PDozeDark__State_D2_D6"	91	1	0.715902157414089	0.708114092399122
"TwoHarmonicR2__State_D2_D6"	95	1	0.652530540401513	0.673429026825183
"PCA_moving_centered_shape_PC1"	95	1	0.578404235588885	0.577297253365
