deleted_line	beta	se	p	trait	SNP	full_gls_beta	full_gls_p	delta_neglogp
"line_799"	-113.798257312034	26.0507960833465	1.2520498567329e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.11934615580656
"line_801"	-111.440717806867	26.0322544911395	1.86163429874125e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0529265931229137
"line_802"	-112.120361019167	26.0278477241466	1.64955146799489e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.000398091935395861
"line_805"	-112.44099759932	26.0721801140158	1.61286696804222e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.00936923113597654
"line_808"	-112.132707133201	26.0566742369234	1.68184680403894e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.00881865560478357
"line_810"	-112.996693812514	26.0431849397818	1.43249734312681e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0608739535208667
"line_812"	-112.161727503264	26.0308385035673	1.64141274394011e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0017499777031551
"line_818"	-112.291061823779	26.0425194047634	1.61904812534759e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.00770802055031261
"line_819"	-118.490783161201	26.4522025528152	7.48427150556975e-06	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.342818244732425
"line_820"	-112.831460717364	26.0407576492463	1.47171780496068e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0491432346303125
"line_821"	-111.878600671633	26.0296787840954	1.72255361019734e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0192049684568207
"line_822"	-111.27893456211	26.03444143409	1.91741319912669e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0657479339815623
"line_83"	-111.626022418746	26.0475339580343	1.82350198836035e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0439384625391526
"line_832"	-112.939892489032	26.0318083342427	1.43436122903937e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.060309240989433
"line_837"	-111.842906240105	26.0321960685084	1.73648983197231e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0227044659711275
"line_843"	-112.381330693921	26.0374470113718	1.58779525732567e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0161732782770274
"line_85"	-112.388699758173	26.039995332349	1.58879771066891e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0158991733009275
"line_850"	-112.061830090704	26.0357569120455	1.67627281610045e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.00737692350416541
"line_852"	-112.135765096967	26.0280413158716	1.64538297126261e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.000700780365635367
"line_855"	-112.313682155917	26.0372189364311	1.6063043238363e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0111399502777871
"line_857"	-113.133666528691	26.030798851443	1.38550021684296e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.075361180579729
"line_859"	-113.576123153852	26.0347017381629	1.28590529478995e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.107758794112317
"line_861"	-114.648681514013	26.0510553891923	1.07791513551024e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.184383208569954
"line_879"	-111.645467610552	26.0311430061934	1.7954471393744e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0372048447080173
"line_88"	-112.056374452376	26.0429158052381	1.68684768947781e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0101080919430183
"line_890"	-112.891482823097	26.0383128738813	1.45368819255999e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0544965157308521
"line_897"	-111.817511134197	26.0418535098615	1.75671088146045e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0277325127533903
"line_900"	-112.606170834775	26.0402940694886	1.5301356076018e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0322378569863382
"line_907"	-112.236453198905	26.0689698364432	1.66709970881196e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.00499379697905411
"line_908"	-110.715306323722	26.0483222288414	2.13406738671404e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.112240350204003
